		L v S log2 FC				
PA5267	10.20047073	0.031821644	0.659409856	0.048257762	0.961510816	0.998010287
PA1703	75.9021927	0.033618672	0.498623197	0.067423	0.946244959	0.995670389
PA2360	16.52565346	0.033725976	0.640329497	0.052669721	0.957995064	0.998010287
PA2447	16.52565346	0.033725976	0.640329497	0.052669721	0.957995064	0.998010287
PA2906	16.52565346	0.033725976	0.640329497	0.052669721	0.957995064	0.998010287
PA4847	16.52565346	0.033725976	0.640329497	0.052669721	0.957995064	0.998010287
PA5081	82.22737543	0.033794164	0.493650976	0.068457605	0.945421367	0.995670389
PA3234	88.55255815	0.033927468	0.48978638	0.06926993	0.944774761	0.995670389
PA0647	22.85083618	0.03458489	0.613581415	0.056365608	0.955050554	0.997710557
PA4989	22.85083618	0.03458489	0.613581415	0.056365608	0.955050554	0.997710557
PA4217	846.7281579	0.034696778	0.571542921	0.060707214	0.951592386	0.997186135
PA0150	29.17601891	0.035070613	0.589734397	0.059468489	0.952578963	0.997186135
PA4418	35.50120163	0.035392095	0.569577449	0.062137458	0.950453367	0.996654713
PA0119	73.45229799	0.036100677	0.500896466	0.072072134	0.942544502	0.995670389
PA0281	77.32758599	0.038548252	0.497437182	0.077493708	0.938230796	0.994750724
PA2729	167.3055374	0.038901746	0.478657622	0.081272593	0.935225169	0.994061663
PA4338	45.70167237	0.039656467	0.543333189	0.072987382	0.941816158	0.995670389
PA4397	45.70167237	0.039656467	0.543333189	0.072987382	0.941816158	0.995670389
PA4263	39.37648964	0.039979805	0.558784168	0.071547849	0.942961744	0.995670389
PA2806	223.2076805	0.040260472	0.480642533	0.083763856	0.933244186	0.994061663
PA0753	33.05130692	0.040400084	0.577011322	0.070016103	0.944180843	0.995670389
PA3951	33.05130692	0.040400084	0.577011322	0.070016103	0.944180843	0.995670389
PA4260	33.05130692	0.040400084	0.577011322	0.070016103	0.944180843	0.995670389
PA4855	33.05130692	0.040400084	0.577011322	0.070016103	0.944180843	0.995670389
PA0083	26.72612419	0.040964546	0.59855018	0.068439618	0.945435685	0.995670389
PA3136	104.0537102	0.041497701	0.483712059	0.08579009	0.931633285	0.994061663
PA4964	149.7553826	0.042011658	0.478680353	0.087765578	0.930062997	0.994061663
PA2153	55.9021431	0.04251864	0.523560449	0.081210566	0.935274497	0.994061663
PA2471	14.07575874	0.04263171	0.650152987	0.065571813	0.947718731	0.995670389
PA5279	14.07575874	0.04263171	0.650152987	0.065571813	0.947718731	0.995670389
PA2795	182.8066895	0.042713554	0.478925525	0.089186213	0.928933922	0.994061663
EBG00001435468	7.750576015	0.043080399	0.653518195	0.065920733	0.947440934	0.995670389
PA1111	7.750576015	0.043080399	0.653518195	0.065920733	0.947440934	0.995670389
PA1629	7.750576015	0.043080399	0.653518195	0.065920733	0.947440934	0.995670389
PA1771	7.750576015	0.043080399	0.653518195	0.065920733	0.947440934	0.995670389
PA2357	7.750576015	0.043080399	0.653518195	0.065920733	0.947440934	0.995670389
PA3098	7.750576015	0.043080399	0.653518195	0.065920733	0.947440934	0.995670389
PA3414	7.750576015	0.043080399	0.653518195	0.065920733	0.947440934	0.995670389
PA4414	7.750576015	0.043080399	0.653518195	0.065920733	0.947440934	0.995670389
PA3598	43.25177765	0.043870571	0.549034652	0.079904922	0.936312875	0.994061663
PA4514	180.3567948	0.043896614	0.478893933	0.091662498	0.926966194	0.994061663
PA4581	118.1294689	0.04398742	0.480809548	0.091486162	0.927106301	0.994061663
PA4624	207.0829189	0.044478654	0.479778073	0.092706725	0.926136554	0.994061663
PA0932	66.10261383	0.044534276	0.508945407	0.087503052	0.93027166	0.994061663
PA1336	36.92659492	0.044804852	0.565534807	0.079225631	0.936853158	0.994061663
PA4190	439.8674606	0.044815791	0.506580872	0.0884672	0.929505353	0.994061663
PA0169	548.1973507	0.044903548	0.526298344	0.08531957	0.932007334	0.994061663
PA3189	132.2052277	0.045918284	0.479372379	0.09578834	0.923688678	0.994061663
PA2939	76.30308457	0.045997637	0.498379637	0.092294376	0.926464157	0.994061663
PA4544	53.45224838	0.04615509	0.527825537	0.087443836	0.930318726	0.994061663
PA0390	109.3543915	0.046454955	0.482434714	0.096292729	0.923288085	0.994061663
PA0476	879.6903778	0.046694711	0.574944144	0.081216082	0.93527011	0.994061663
PA0902	69.97790184	0.04680512	0.504523277	0.092770982	0.926085504	0.994061663
PA3280	212.3836002	0.0469274	0.480074109	0.097750324	0.922130554	0.994061663
PA4116	47.12706566	0.047205743	0.540267265	0.087374797	0.930373602	0.994061663
PA0126	24.27622947	0.047745672	0.607945222	0.078536141	0.937401583	0.994061663
PA3683	24.27622947	0.047745672	0.607945222	0.078536141	0.937401583	0.994061663
PA4361	24.27622947	0.047745672	0.607945222	0.078536141	0.937401583	0.994061663
PA0190	80.17837257	0.047910981	0.495256313	0.096739768	0.922933057	0.994061663
PA1141	40.80188293	0.048507365	0.555132741	0.087379759	0.930369658	0.994061663
PA2130	127.3054382	0.049369674	0.479794086	0.102897628	0.91804422	0.994061663
PA0668	190.9581573	0.049397892	0.479198228	0.103084462	0.917895937	0.994061663
PA0280	110.7797848	0.049773831	0.482164225	0.103230038	0.9177804	0.994061663
PA2214	17.95104675	0.050148171	0.634313843	0.079058926	0.936985753	0.994061663
PA3871	17.95104675	0.050148171	0.634313843	0.079058926	0.936985753	0.994061663
PA3455	61.2028244	0.051152437	0.515472052	0.099234161	0.920952352	0.994061663
PA0670	124.8555435	0.051194193	0.480051902	0.106643036	0.915072175	0.994061663
PA1033	87.92894859	0.051230152	0.490288064	0.104489903	0.916780581	0.994061663
PA4035	118.5303608	0.052059073	0.480838931	0.108267176	0.913783759	0.994061663
PA2709	28.15151748	0.052456589	0.593441802	0.088393823	0.929563671	0.994061663
PA3225	28.15151748	0.052456589	0.593441802	0.088393823	0.929563671	0.994061663
PA0635	11.62586402	0.053506848	0.657556754	0.081372213	0.935145947	0.994061663
PA1619	11.62586402	0.053506848	0.657556754	0.081372213	0.935145947	0.994061663
PA2133	11.62586402	0.053506848	0.657556754	0.081372213	0.935145947	0.994061663
PA3025	11.62586402	0.053506848	0.657556754	0.081372213	0.935145947	0.994061663
PA3315	11.62586402	0.053506848	0.657556754	0.081372213	0.935145947	0.994061663
PA4252	11.62586402	0.053506848	0.657556754	0.081372213	0.935145947	0.994061663
PA1990	38.35198821	0.053634502	0.561644345	0.095495491	0.923921272	0.994061663
PA5078	85.47905387	0.053874935	0.491733029	0.109561351	0.912757264	0.994061663
PA3224	531.2262618	0.054110798	0.523189457	0.103424864	0.917625779	0.994061663
PA5194	558.3532779	0.055019028	0.528298909	0.104143747	0.917055275	0.994061663
PA3290	298.6644378	0.055091224	0.487645735	0.112973865	0.910051275	0.994061663
PA2116	79.15387115	0.055224019	0.496120573	0.111311689	0.911369186	0.994061663
PA1273	21.82633476	0.055621735	0.617890569	0.090018747	0.928272317	0.994061663
PA3546	21.82633476	0.055621735	0.617890569	0.090018747	0.928272317	0.994061663
PA4301	21.82633476	0.055621735	0.617890569	0.090018747	0.928272317	0.994061663
PA1595	32.02680549	0.056234345	0.580361877	0.096895312	0.922809532	0.994061663
PA0723	5.300681298	0.056305831	0.621080493	0.090657865	0.927764452	0.994061663
PA1355	5.300681298	0.056305831	0.621080493	0.090657865	0.927764452	0.994061663
PA1428	5.300681298	0.056305831	0.621080493	0.090657865	0.927764452	0.994061663
PA2208	5.300681298	0.056305831	0.621080493	0.090657865	0.927764452	0.994061663
PA2606	5.300681298	0.056305831	0.621080493	0.090657865	0.927764452	0.994061663
PA2845	5.300681298	0.056305831	0.621080493	0.090657865	0.927764452	0.994061663
PA4934	5.300681298	0.056305831	0.621080493	0.090657865	0.927764452	0.994061663
PA5041	5.300681298	0.056305831	0.621080493	0.090657865	0.927764452	0.994061663
PA2338	42.22727622	0.056546381	0.551626013	0.102508546	0.91835303	0.994061663
PA3542	97.10491789	0.057673786	0.486158144	0.118631739	0.905567119	0.994061663
PA3467	86.90444716	0.057968819	0.490940256	0.118077135	0.906006541	0.994061663
PA1292	218.4860653	0.057989667	0.480552685	0.120672861	0.903950156	0.994061663
PA0132	208.2855945	0.058260927	0.479999875	0.121376962	0.903392463	0.994061663
PA0154	111.1806766	0.058348099	0.482183682	0.121008034	0.903684672	0.994061663
PA5016	111.1806766	0.058348099	0.482183682	0.121008034	0.903684672	0.994061663
PA5370	149.5326649	0.058753241	0.478876319	0.122689803	0.902352739	0.994061663
PA2809	46.10256423	0.059033723	0.542606735	0.108796518	0.913363886	0.994061663
PA4337	35.9020935	0.059335536	0.568583115	0.104356837	0.916886174	0.994061663
PA1084	25.70162276	0.059792084	0.602508419	0.099238586	0.920948839	0.994061663
PA1216	25.70162276	0.059792084	0.602508419	0.099238586	0.920948839	0.994061663
PA2486	15.50115203	0.060227348	0.644659807	0.093425008	0.925565924	0.994061663
PA3548	94.65502318	0.060245392	0.487161974	0.123666039	0.901579702	0.994061663
PA5209	94.65502318	0.060245392	0.487161974	0.123666039	0.901579702	0.994061663
PA1609	84.45455244	0.060827067	0.492450165	0.123519234	0.901695944	0.994061663
PA5389	84.45455244	0.060827067	0.492450165	0.123519234	0.901695944	0.994061663
PA4986	803.2982061	0.061178633	0.566858101	0.107925834	0.914054524	0.994061663
PA5378	39.7773815	0.061933972	0.557903274	0.111012025	0.911606811	0.994061663
PA3633	186.8601516	0.062087944	0.479247906	0.129552874	0.89692019	0.994061663
PA2681	53.85314025	0.063040815	0.527277328	0.119559124	0.904832402	0.994061663
PA5079	29.57691077	0.06306836	0.588537114	0.107161228	0.914661074	0.994061663
EBG00001435483	124.2319339	0.063651183	0.480275949	0.132530441	0.894564747	0.994061663
PA0298	110.1561752	0.063782974	0.482469365	0.132201085	0.894825243	0.994061663
PA1203	19.37644004	0.064864218	0.628272051	0.103242246	0.917770711	0.994061663
PA5142	19.37644004	0.064864218	0.628272051	0.103242246	0.917770711	0.994061663
PA4920	217.8624557	0.065113684	0.480615249	0.135479854	0.892232492	0.994061663
PA1032	1077.597327	0.06525578	0.589908569	0.110620159	0.911917561	0.994061663
PA4941	33.45219878	0.065714924	0.575959207	0.11409649	0.909161305	0.994061663
PA4887	89.75523374	0.065780418	0.489498352	0.134383328	0.893099464	0.994061663
PA0019	47.52795752	0.06602526	0.539590409	0.122361813	0.90261248	0.994061663
PA4037	47.52795752	0.06602526	0.539590409	0.122361813	0.90261248	0.994061663
PA4627	47.52795752	0.06602526	0.539590409	0.122361813	0.90261248	0.994061663
PA3222	183.3857555	0.06681458	0.479238571	0.139418202	0.88911969	0.994061663
PA1870	9.175969306	0.066867572	0.658774022	0.10150305	0.919151137	0.994061663
PA1983	9.175969306	0.066867572	0.658774022	0.10150305	0.919151137	0.994061663
PA5295	133.4079033	0.067440265	0.479567137	0.140627369	0.888164326	0.994061663
PA3890	115.4568565	0.067472043	0.481516912	0.140123933	0.888562072	0.994061663
PA0615	2.85078658	0.067766725	0.515493015	0.131460026	0.895411407	0.994061663
PA1692	2.85078658	0.067766725	0.515493015	0.131460026	0.895411407	0.994061663
PA2091	2.85078658	0.067766725	0.515493015	0.131460026	0.895411407	0.994061663
PA2983	2.85078658	0.067766725	0.515493015	0.131460026	0.895411407	0.994061663
PA3664	2.85078658	0.067766725	0.515493015	0.131460026	0.895411407	0.994061663
PA5350	2.85078658	0.067766725	0.515493015	0.131460026	0.895411407	0.994061663
PA3408	264.3659118	0.068165819	0.484277109	0.14075788	0.888061218	0.994061663
PA1106	927.6637707	0.068188517	0.579413327	0.117685449	0.906316897	0.994061663
PA1024	23.25172805	0.068262188	0.612148606	0.111512445	0.911209997	0.994061663
PA1378	23.25172805	0.068262188	0.612148606	0.111512445	0.911209997	0.994061663
PA2470	23.25172805	0.068262188	0.612148606	0.111512445	0.911209997	0.994061663
PA2963	23.25172805	0.068262188	0.612148606	0.111512445	0.911209997	0.994061663
PA4884	23.25172805	0.068262188	0.612148606	0.111512445	0.911209997	0.994061663
PA2624	301.6933986	0.068766645	0.488175657	0.140864552	0.887976946	0.994061663
PA4375	166.860102	0.068898126	0.479021758	0.14383089	0.88563401	0.994061663
EBG00001435421	0.400891863	0.069315327	0.239368159	0.289576223	0.772140459	0.994061663
PA0905.2	0.400891863	0.069315327	0.239368159	0.289576223	0.772140459	0.994061663
PA1664	0.400891863	0.069315327	0.239368159	0.289576223	0.772140459	0.994061663
PA1700	0.400891863	0.069315327	0.239368159	0.289576223	0.772140459	0.994061663
PA1718	0.400891863	0.069315327	0.239368159	0.289576223	0.772140459	0.994061663
PA2362	0.400891863	0.069315327	0.239368159	0.289576223	0.772140459	0.994061663
PA2364	0.400891863	0.069315327	0.239368159	0.289576223	0.772140459	0.994061663
PA3094.2	0.400891863	0.069315327	0.239368159	0.289576223	0.772140459	0.994061663
PA3144	0.400891863	0.069315327	0.239368159	0.289576223	0.772140459	0.994061663
PA3294	0.400891863	0.069315327	0.239368159	0.289576223	0.772140459	0.994061663
PA4220	0.400891863	0.069315327	0.239368159	0.289576223	0.772140459	0.994061663
PA4746.2	0.400891863	0.069315327	0.239368159	0.289576223	0.772140459	0.994061663
PA5351	0.400891863	0.069315327	0.239368159	0.289576223	0.772140459	0.994061663
PA0547	95.05591504	0.070185588	0.487130921	0.144079517	0.885437679	0.994061663
PA1831	59.15382154	0.070307014	0.518686145	0.135548279	0.892178395	0.994061663
PA4837	59.15382154	0.070307014	0.518686145	0.135548279	0.892178395	0.994061663
PA4967	59.15382154	0.070307014	0.518686145	0.135548279	0.892178395	0.994061663
PA5381	116.8822498	0.070366134	0.481329939	0.146191059	0.883770563	0.994061663
PA1056	27.12701605	0.070851139	0.597276235	0.118623736	0.905573459	0.994061663
PA1167	27.12701605	0.070851139	0.597276235	0.118623736	0.905573459	0.994061663
PA2084	27.12701605	0.070851139	0.597276235	0.118623736	0.905573459	0.994061663
PA5154	27.12701605	0.070851139	0.597276235	0.118623736	0.905573459	0.994061663
PA5318	80.9801563	0.071188594	0.494944396	0.143831499	0.885633529	0.994061663
PA3163	235.1898929	0.071744298	0.481870747	0.148887018	0.881642785	0.994061663
PA3851	84.85544431	0.071904199	0.492346934	0.146043762	0.883886842	0.994061663
PA4902	48.95335081	0.072662321	0.536700057	0.135387205	0.89230574	0.994061663
PA5368	70.77968557	0.073200329	0.503979479	0.145244662	0.884517705	0.994061663
PA5131	74.65497357	0.073952564	0.500185286	0.147850339	0.882460881	0.994061663
PA1695	34.87759207	0.074559977	0.571730781	0.130410989	0.896241273	0.994061663
PA2918	60.57921483	0.075704059	0.516649383	0.146528886	0.883503888	0.994061663
PA4206	60.57921483	0.075704059	0.516649383	0.146528886	0.883503888	0.994061663
PA2417	16.92654532	0.075828198	0.638798233	0.118704458	0.905509505	0.994061663
PA4626	16.92654532	0.075828198	0.638798233	0.118704458	0.905509505	0.994061663
PA5384	16.92654532	0.075828198	0.638798233	0.118704458	0.905509505	0.994061663
PA3218	168.6863872	0.076504737	0.479164573	0.159662757	0.87314674	0.994061663
PA2909	42.62816809	0.077120693	0.550855721	0.140001619	0.888658711	0.994061663
PA3767	42.62816809	0.077120693	0.550855721	0.140001619	0.888658711	0.994061663
PA4923	440.9810492	0.077417413	0.507200379	0.152636741	0.878684749	0.994061663
PA1374	20.80183333	0.078138163	0.622304035	0.12556268	0.900078106	0.994061663
PA1882	20.80183333	0.078138163	0.622304035	0.12556268	0.900078106	0.994061663
PA2215	20.80183333	0.078138163	0.622304035	0.12556268	0.900078106	0.994061663
PA4547	273.3191634	0.078887983	0.485318331	0.162548945	0.870873588	0.994061663
PA0067	144.4101577	0.079595098	0.479294284	0.16606728	0.868104003	0.994061663
PA0766	24.67712134	0.079788519	0.606594528	0.131535178	0.89535196	0.994061663
PA3445	24.67712134	0.079788519	0.606594528	0.131535178	0.89535196	0.994061663
PA2812	95.4568069	0.080043658	0.487118959	0.164320557	0.8694788	0.994061663
PA4438	58.12932012	0.080331936	0.52038773	0.15436939	0.877318488	0.994061663
PA4468	233.5417819	0.081053732	0.481908984	0.168193029	0.866431425	0.994061663
PA3673	138.084975	0.081652076	0.479549293	0.170268369	0.864799086	0.994061663
PA0622	69.75518414	0.081751006	0.505200686	0.161818874	0.871448489	0.994061663
PA1661	32.42769735	0.08202723	0.579313852	0.141593767	0.887400891	0.994061663
PA4415	32.42769735	0.08202723	0.579313852	0.141593767	0.887400891	0.994061663
PA5541	215.5907351	0.082374734	0.480768844	0.171339585	0.863956756	0.994061663
PA0357	77.50576015	0.082404084	0.497817661	0.165530656	0.868526323	0.994061663
PA1861	81.38104816	0.082662251	0.494827124	0.16705279	0.867328512	0.994061663
PA3775	36.30298536	0.082832987	0.567656144	0.145921061	0.883983705	0.994061663
PA3996	85.25633617	0.082880433	0.492267186	0.168364733	0.866296351	0.994061663
PA0765	6.726074588	0.082930944	0.644631996	0.128648507	0.897635782	0.994061663
PA1324.1	6.726074588	0.082930944	0.644631996	0.128648507	0.897635782	0.994061663
PA1362	6.726074588	0.082930944	0.644631996	0.128648507	0.897635782	0.994061663
PA2143	6.726074588	0.082930944	0.644631996	0.128648507	0.897635782	0.994061663
PA3332	6.726074588	0.082930944	0.644631996	0.128648507	0.897635782	0.994061663
PA4577	6.726074588	0.082930944	0.644631996	0.128648507	0.897635782	0.994061663
PA1258	40.17827337	0.083511945	0.557083979	0.149909078	0.88083635	0.994061663
PA0065	135.6350803	0.083915128	0.479708932	0.174929259	0.861135219	0.994061663
PA2555	47.92884938	0.084567084	0.538964886	0.156906482	0.875318551	0.994061663
PA2571	47.92884938	0.084567084	0.538964886	0.156906482	0.875318551	0.994061663
PA3682	51.80413739	0.084972904	0.531280159	0.159939915	0.872928405	0.994061663
EBG00001435448	678.1308578	0.085369099	0.549671964	0.155309175	0.876577583	0.994061663
PA3374	63.43000141	0.085834538	0.51284855	0.167368198	0.867080346	0.994061663
PA4502	71.18057743	0.086187554	0.503762524	0.171087666	0.864154834	0.994061663
PA5288	113.8087455	0.086476238	0.482111315	0.179369858	0.857647297	0.994061663
PA0742	10.6013626	0.087304302	0.65917625	0.132444551	0.894632679	0.994061663
PA2087	10.6013626	0.087304302	0.65917625	0.132444551	0.894632679	0.994061663
PA2380	10.6013626	0.087304302	0.65917625	0.132444551	0.894632679	0.994061663
PA4359	10.6013626	0.087304302	0.65917625	0.132444551	0.894632679	0.994061663
EBG00001435463	14.4766506	0.088997286	0.64879964	0.137172218	0.89089467	0.994061663
PA0537	14.4766506	0.088997286	0.64879964	0.137172218	0.89089467	0.994061663
PA2430	14.4766506	0.088997286	0.64879964	0.137172218	0.89089467	0.994061663
PA2741	14.4766506	0.088997286	0.64879964	0.137172218	0.89089467	0.994061663
PA0992	18.35193861	0.089774461	0.632799752	0.141868673	0.887183739	0.994061663
PA3029	18.35193861	0.089774461	0.632799752	0.141868673	0.887183739	0.994061663
PA3166	18.35193861	0.089774461	0.632799752	0.141868673	0.887183739	0.994061663
PA0501	22.22722662	0.090146343	0.616470396	0.1462298	0.883739981	0.994061663
PA1171	22.22722662	0.090146343	0.616470396	0.1462298	0.883739981	0.994061663
PA1210	22.22722662	0.090146343	0.616470396	0.1462298	0.883739981	0.994061663
PA2877	22.22722662	0.090146343	0.616470396	0.1462298	0.883739981	0.994061663
PA3777	22.22722662	0.090146343	0.616470396	0.1462298	0.883739981	0.994061663
PA1000	26.10251463	0.090342819	0.601239582	0.15026093	0.880558756	0.994061663
PA3855	26.10251463	0.090342819	0.601239582	0.15026093	0.880558756	0.994061663
PA0610	76.48125873	0.09037775	0.498822329	0.181182247	0.856224529	0.994061663
PA1011	29.97780263	0.090456587	0.587420486	0.1539895	0.877618014	0.994061663
PA1866	29.97780263	0.090456587	0.587420486	0.1539895	0.877618014	0.994061663
PA0242	72.60597072	0.090460889	0.502395203	0.180059222	0.857106075	0.994061663
PA3625	37.72837865	0.090587621	0.563731828	0.160692755	0.872335396	0.994061663
PA4619	64.8553947	0.090593438	0.511077881	0.177259556	0.859304518	0.994061663
PA1839	41.60366666	0.090638017	0.553542987	0.163741605	0.869934563	0.994061663
PA4859	41.60366666	0.090638017	0.553542987	0.163741605	0.869934563	0.994061663
PA4995	41.60366666	0.090638017	0.553542987	0.163741605	0.869934563	0.994061663
PA3175	57.10481869	0.090673445	0.522155066	0.173652332	0.862138702	0.994061663
PA5161	57.10481869	0.090673445	0.522155066	0.173652332	0.862138702	0.994061663
PA0098	49.35424267	0.090690746	0.536119927	0.169161303	0.865669767	0.994061663
PA4459	267.1721548	0.092851332	0.484983896	0.191452402	0.848171169	0.994061663
PA2810	564.0993946	0.093093465	0.529917978	0.175675235	0.860549093	0.994061663
PA5445	455.8140481	0.093347634	0.509965732	0.183046876	0.854761238	0.994061663
PA2791	85.65722803	0.093756842	0.492210346	0.19048125	0.848932035	0.994061663
PA3272	314.0765028	0.093964513	0.49005846	0.191741437	0.847944746	0.994061663
PA1944	249.2211081	0.094926418	0.483409772	0.196368429	0.844321805	0.994061663
PA4683	66.28078799	0.095163475	0.509389535	0.18681867	0.851802808	0.994061663
PA1256	58.53021198	0.095797933	0.519996834	0.184227915	0.853834661	0.994061663
PA4854	58.53021198	0.095797933	0.519996834	0.184227915	0.853834661	0.994061663
PA2869	90.95790933	0.096811822	0.489402746	0.197816263	0.843188821	0.994061663
PA4694	46.90434796	0.096915144	0.541312563	0.179037307	0.857908408	0.994061663
PA2932	43.02905995	0.097362266	0.550142221	0.176976538	0.859526819	0.994061663
PA1643	83.20733332	0.097646109	0.493827857	0.197733093	0.843253897	0.994061663
PA0157	39.15377194	0.097870633	0.559955538	0.174782864	0.861250254	0.994061663
PA0414	39.15377194	0.097870633	0.559955538	0.174782864	0.861250254	0.994061663
PA1523	157.2386973	0.097926751	0.479496907	0.204228119	0.838175238	0.994061663
PA0147	79.33204531	0.098088434	0.496624556	0.197510238	0.843428271	0.994061663
PA0296	174.1652426	0.098356897	0.479656823	0.205056808	0.837527741	0.994061663
PA4136	35.27848393	0.098466718	0.570811896	0.172502919	0.863042167	0.994061663
PA3400	75.4567573	0.098550675	0.499863189	0.197155297	0.843706012	0.994061663
PA5449	124.811	0.098918169	0.480824724	0.205726046	0.837004912	0.994061663
PA2092	31.40319592	0.099184875	0.582786686	0.170190702	0.864860164	0.994061663
PA4058	31.40319592	0.099184875	0.582786686	0.170190702	0.864860164	0.994061663
PA1055	4.276179871	0.099978122	0.590424464	0.169332622	0.865535018	0.994061663
PA1641	4.276179871	0.099978122	0.590424464	0.169332622	0.865535018	0.994061663
PA1698	4.276179871	0.099978122	0.590424464	0.169332622	0.865535018	0.994061663
PA1710	4.276179871	0.099978122	0.590424464	0.169332622	0.865535018	0.994061663
PA1899	4.276179871	0.099978122	0.590424464	0.169332622	0.865535018	0.994061663
PA2978	4.276179871	0.099978122	0.590424464	0.169332622	0.865535018	0.994061663
PA3304.1	4.276179871	0.099978122	0.590424464	0.169332622	0.865535018	0.994061663
PA4836	4.276179871	0.099978122	0.590424464	0.169332622	0.865535018	0.994061663
PA1973	27.52790792	0.100041518	0.596087287	0.167830317	0.866716771	0.994061663
PA3134	27.52790792	0.100041518	0.596087287	0.167830317	0.866716771	0.994061663
PA4155	27.52790792	0.100041518	0.596087287	0.167830317	0.866716771	0.994061663
PA4469	63.83089328	0.100107282	0.512551335	0.195311719	0.845148923	0.994061663
PA1887	171.7153479	0.100392987	0.479665027	0.209298118	0.834215521	0.994061663
PA4157	59.95560527	0.10070143	0.517934474	0.1944289	0.845840063	0.994061663
PA0898	23.65261991	0.101063447	0.610806713	0.165458966	0.868582745	0.994061663
PA0559	308.5531038	0.101269749	0.489566323	0.206856037	0.836122291	0.994061663
PA0831	56.08031726	0.101346223	0.523990286	0.193412409	0.846635998	0.994061663
PA3083	336.0810117	0.102212572	0.49292184	0.207360607	0.835728245	0.994061663
PA0837	19.7773319	0.102270563	0.626805121	0.163161658	0.870391154	0.994061663
PA2209	19.7773319	0.102270563	0.626805121	0.163161658	0.870391154	0.994061663
PA2534	19.7773319	0.102270563	0.626805121	0.163161658	0.870391154	0.994061663
PA3653	19.7773319	0.102270563	0.626805121	0.163161658	0.870391154	0.994061663
PA1129	1.826285153	0.102464562	0.416050695	0.24627903	0.805466242	0.994061663
PA1705	1.826285153	0.102464562	0.416050695	0.24627903	0.805466242	0.994061663
PA1885	1.826285153	0.102464562	0.416050695	0.24627903	0.805466242	0.994061663
PA3837	48.32974125	0.102836413	0.53838919	0.191007573	0.84851966	0.994061663
PA0269	15.90204389	0.103631685	0.643216609	0.161114753	0.872003021	0.994061663
PA2861	15.90204389	0.103631685	0.643216609	0.161114753	0.872003021	0.994061663
PA3377	15.90204389	0.103631685	0.643216609	0.161114753	0.872003021	0.994061663
PA4326	44.45445324	0.103717007	0.546877789	0.189652989	0.849581062	0.994061663
PA4395	44.45445324	0.103717007	0.546877789	0.189652989	0.849581062	0.994061663
PA1796.3	0.801783726	0.103720434	0.244596295	0.424047445	0.671531212	0.994061663
PA1804	0.801783726	0.103720434	0.244596295	0.424047445	0.671531212	0.994061663
PA2193	0.801783726	0.103720434	0.244596295	0.424047445	0.671531212	0.994061663
PA2296	0.801783726	0.103720434	0.244596295	0.424047445	0.671531212	0.994061663
PA2673	0.801783726	0.103720434	0.244596295	0.424047445	0.671531212	0.994061663
PA2775.1	0.801783726	0.103720434	0.244596295	0.424047445	0.671531212	0.994061663
PA3413	0.801783726	0.103720434	0.244596295	0.424047445	0.671531212	0.994061663
PA4758.1	0.801783726	0.103720434	0.244596295	0.424047445	0.671531212	0.994061663
PA2397	351.9830556	0.103759342	0.494997273	0.209615988	0.833967401	0.994061663
PA2385	89.9334079	0.103825927	0.49004525	0.211870082	0.832208392	0.994061663
PA3708	89.9334079	0.103825927	0.49004525	0.211870082	0.832208392	0.994061663
PA4319	40.57916523	0.104723152	0.556324374	0.188241171	0.8506876	0.994061663
PA3698	12.02675589	0.104953653	0.656727731	0.159813037	0.873028354	0.994061663
PA1180	61.38099856	0.105397285	0.515964502	0.204272356	0.838140671	0.994061663
PA4142	61.38099856	0.105397285	0.515964502	0.204272356	0.838140671	0.994061663
PA0177	8.151467878	0.105423289	0.655532302	0.160820891	0.872234471	0.994061663
PA1950	8.151467878	0.105423289	0.655532302	0.160820891	0.872234471	0.994061663
PA2093	8.151467878	0.105423289	0.655532302	0.160820891	0.872234471	0.994061663
PA3275	8.151467878	0.105423289	0.655532302	0.160820891	0.872234471	0.994061663
PA4789	8.151467878	0.105423289	0.655532302	0.160820891	0.872234471	0.994061663
PA5015	228.1965571	0.105718444	0.482041032	0.219314201	0.8264053	0.994061663
PA1607	36.70387722	0.105896231	0.566794403	0.186833586	0.851791112	0.994061663
PA4595	91.35880119	0.106977333	0.489411291	0.218583705	0.826974347	0.994061663
PA4952	1377.909876	0.107014747	0.606450958	0.176460678	0.859932038	0.994061663
PA2361	32.82858921	0.107297333	0.578339334	0.185526605	0.852816015	0.994061663
PA3174	32.82858921	0.107297333	0.578339334	0.185526605	0.852816015	0.994061663
PA1190	49.75513454	0.108460316	0.535587675	0.202507117	0.839520295	0.994061663
PA3544	96.65948249	0.109132975	0.48719319	0.224003491	0.822754587	0.994061663
PA0749	161.9157691	0.109148437	0.479760626	0.227506034	0.820030278	0.994061663
PA0599	715.1019963	0.109853351	0.555729412	0.197674171	0.8433	0.994061663
PA1304	62.80639185	0.109897778	0.514083564	0.213774153	0.830723182	0.994061663
PA0454	215.5461916	0.109994055	0.481350502	0.228511353	0.819248731	0.994061663
PA3878	75.85764916	0.110663923	0.499739189	0.221443356	0.824747237	0.994061663
PA1243	71.98236116	0.111752912	0.503401778	0.221995466	0.824317413	0.994061663
PA3823	133.3633597	0.112124558	0.48042278	0.233387263	0.815460703	0.994061663
PA4725	209.2210089	0.112318219	0.481067177	0.233477202	0.81539087	0.994061663
