		L v S log2 FC				
PA3141	516.7496112	-0.882540071	0.576317435	-1.531343696	0.125684471	0.994061663
PA2622	248.0184325	-0.882070077	0.545567196	-1.616794566	0.105922633	0.994061663
PA0658	298.5753508	-0.880293532	0.549917361	-1.600774216	0.109426936	0.994061663
PA1563	70.69059849	-0.880083324	0.553627019	-1.589668301	0.111909592	0.994061663
PA0327	170.3344982	-0.87906647	0.540389081	-1.626728779	0.103794714	0.994061663
PA0770	10.11138365	-0.879037991	0.656152666	-1.339685162	0.180347724	0.994061663
PA2946	135.8132544	-0.878198329	0.539077923	-1.629074929	0.103297158	0.994061663
PA1158	120.4011895	-0.875829883	0.538969533	-1.625008151	0.104160822	0.994061663
PA0677	24.27622947	-0.873778471	0.630505918	-1.385837064	0.165796662	0.994061663
PA3561	24.27622947	-0.873778471	0.630505918	-1.385837064	0.165796662	0.994061663
PA5285	32.69495859	-0.872483051	0.608283102	-1.434337151	0.151476074	0.994061663
PA1005	693.6765534	-0.871961464	0.598728421	-1.456355559	0.145294354	0.994061663
PA1796	480.0902776	-0.871854593	0.570035769	-1.529473483	0.126147108	0.994061663
EBG00001435520	5354.445351	-0.870666486	0.659213221	-1.320766117	0.186579361	0.994061663
PA1670	15.85750035	-0.870662929	0.654260086	-1.330759659	0.183268106	0.994061663
PA5524	178.1296177	-0.869679963	0.539692391	-1.611436399	0.107084639	0.994061663
PA2504	169.087279	-0.868385926	0.539136785	-1.610696858	0.107245811	0.994061663
PA0745	20.57911563	-0.868117721	0.641125604	-1.354052491	0.175719632	0.994061663
PA5045	2341.030305	-0.868078855	0.652990877	-1.329388949	0.183719682	0.994061663
PA5086	62.67276123	-0.86483059	0.559060441	-1.546935764	0.121878736	0.994061663
PA3614	216.7488672	-0.863746716	0.541177118	-1.596051806	0.110477227	0.994061663
PA3003	252.2946124	-0.862384824	0.543718587	-1.586086707	0.112719642	0.994061663
PA3747	67.3943765	-0.861665971	0.554453957	-1.554080299	0.120165264	0.994061663
PA3039	38.4410753	-0.861622174	0.594801972	-1.448586614	0.147453062	0.994061663
PA4135	30.02234617	-0.860816562	0.614159686	-1.401616847	0.161029693	0.994061663
PA3927	16.88200178	-0.859199139	0.65143881	-1.318925318	0.187194081	0.994061663
PA2670	21.60361705	-0.857951681	0.637690586	-1.345404337	0.178494695	0.994061663
PA4176	21.60361705	-0.857951681	0.637690586	-1.345404337	0.178494695	0.994061663
PA1297	210.7800328	-0.857716011	0.540109814	-1.58804004	0.112277285	0.994061663
PA4218	34.74396145	-0.857684992	0.602586487	-1.423339239	0.154637837	0.994061663
PA3850	557.7742119	-0.856182767	0.579675032	-1.477004734	0.139674368	0.994061663
PA0814	113.8087455	-0.85580676	0.537156503	-1.59321679	0.111111566	0.994061663
PA3901	1055.058296	-0.855273258	0.623792747	-1.371085608	0.170348271	0.994061663
PA4924	783.5208742	-0.855107894	0.606624594	-1.409616263	0.158653022	0.994061663
PA0816	186.3256292	-0.854275768	0.538344976	-1.586855651	0.112545341	0.994061663
