TimePoint,meanMSD,medianMSD,medianMSD_sem,meanRMSD,medianRMSD,medianRMSD_sem,meanSpeed,medianSpeed,medianSpeed_sem,TeckRep,Strain,IC_meanMSD,IC_medianMSD,IC_meanRMSD,IC_medianRMSD,IC_meanSpeed,IC_medianSpeed
3.0,0.4209014839006136,0.37731701836930454,0.0007969916874951577,5.662909431132794,4.894990273512072,0.014244248695723685,0.6585485419847328,0.667,0.0016624833878914444,2.0,fliC-,[0.37272808 0.46714224],[0.33526787 0.44340173],[5.00228907 6.38351453],[4.18339553 5.77094307],[0.61105802 0.71088683],[0.567 0.769]
0.0,0.009097401489249363,0.002949593982278302,1.864774780088954e-05,0.5550504785473889,0.18650416852727167,0.00042046495247131255,0.06811825008416922,0.053,0.0001988533194157006,1.0,pilG-fliC-,[0.00688691 0.01154033],[0.0019911  0.00383278],[0.34453703 0.81938025],[0.16415063 0.21236452],[0.05804306 0.07889628],[0.04  0.067]
1.0,0.008082798631158612,0.0039307757684606225,1.706914927148805e-05,0.2923300486415411,0.14028792155627914,0.0003508610360981179,0.05890120198670892,0.056,0.00010924005396094139,1.0,pilG-fliC-,[0.00648679 0.00980969],[0.00298492 0.00479081],[0.24101006 0.34812721],[0.11615408 0.16436485],[0.05326762 0.06442735],[0.046975 0.059   ]
2.0,0.012108280902273182,0.0059986297023737175,1.221173933911597e-05,0.5173974155224276,0.20247602460671507,0.0006499010833106969,0.08103006827309236,0.073,0.0001121185156946057,1.0,pilG-fliC-,[0.01031253 0.0140865 ],[0.00539852 0.00670349],[0.41102776 0.66015473],[0.17013126 0.25354941],[0.07491787 0.08778916],[0.065 0.08 ]
3.0,0.02855146986441618,0.010717601384648862,2.6228307161151227e-05,0.8524338260341974,0.5688768573143695,0.0015189211235346843,0.11165620040080161,0.08800000000000001,0.00011492399020014718,1.0,pilG-fliC-,[0.02368904 0.03441488],[0.00933899 0.01223686],[0.77268515 0.94209399],[0.50362824 0.6826931 ],[0.10468056 0.11924088],[0.082 0.097]
0.0,0.014127493758807027,0.004712533877218865,1.2712770186437318e-05,0.5693287610919414,0.2709025767905538,0.00048062759540274714,0.07410056962025317,0.055499999999999994,0.00010785004117468556,3.0,pilG-fliC-,[0.01152566 0.0172038 ],[0.00381559 0.00538203],[0.49983481 0.65213287],[0.24244482 0.29757045],[0.06832964 0.08056187],[0.0495 0.063 ]
1.0,,,,,,,,,,3.0,pilG-fliC-,[nan nan],[nan nan],[nan nan],[nan nan],[nan nan],[nan nan]
2.0,,,,,,,,,,3.0,pilG-fliC-,[nan nan],[nan nan],[nan nan],[nan nan],[nan nan],[nan nan]
3.0,,,,,,,,,,3.0,pilG-fliC-,[nan nan],[nan nan],[nan nan],[nan nan],[nan nan],[nan nan]
0.0,0.011990928752975059,0.004574525811194387,9.926620239672772e-06,0.5202788156001936,0.3039154789301323,0.0002770774075989368,0.07504932711864407,0.054000000000000006,8.254703970321262e-05,2.0,pilG-fliC-,[0.00995876 0.01423612],[0.00404667 0.00526374],[0.47046532 0.56787773],[0.28451021 0.31502594],[0.06996631 0.08006271],[0.048 0.059]
