 ,Label,Angle,Median,Slice,Length
91,run_it025_classes.mrcs:z:21/30 - run_it025_classes.mrcs,-179.652757,0.047416,21,0.004373
92,run_it025_classes.mrcs:z:21/30 - run_it025_classes.mrcs,-1.123303,0.002512,21,0.004055
93,run_it025_classes.mrcs:z:21/30 - run_it025_classes.mrcs,-0.720664,0.031255,21,0.004214
94,run_it025_classes.mrcs:z:21/30 - run_it025_classes.mrcs,0.000000,0.013588,21,0.004001
95,run_it025_classes.mrcs:z:21/30 - run_it025_classes.mrcs,-0.720664,-0.010693,21,0.004214
96,run_it025_classes.mrcs:z:21/30 - run_it025_classes.mrcs,-1.094691,-0.005667,21,0.004161
97,run_it025_classes.mrcs:z:22/30 - run_it025_classes.mrcs,-1.859599,-0.054948,22,0.004083
98,run_it025_classes.mrcs:z:22/30 - run_it025_classes.mrcs,-3.576334,-0.051383,22,0.004248
99,run_it025_classes.mrcs:z:22/30 - run_it025_classes.mrcs,-3.388557,-0.003289,22,0.004035
100,run_it025_classes.mrcs:z:22/30 - run_it025_classes.mrcs,-3.260161,0.034068,22,0.004194
101,run_it025_classes.mrcs:z:22/30 - run_it025_classes.mrcs,-3.644490,0.124713,22,0.004169
102,run_it025_classes.mrcs:z:22/30 - run_it025_classes.mrcs,-2.654196,-0.020813,22,0.004006
103,run_it025_classes.mrcs:z:23/30 - run_it025_classes.mrcs,0.744059,-0.075956,23,0.004081
104,run_it025_classes.mrcs:z:23/30 - run_it025_classes.mrcs,0.367276,-0.046169,23,0.004134
105,run_it025_classes.mrcs:z:23/30 - run_it025_classes.mrcs,1.459449,-0.129306,23,0.004162
106,run_it025_classes.mrcs:z:23/30 - run_it025_classes.mrcs,-0.753848,-0.088139,23,0.004028
107,run_it025_classes.mrcs:z:23/30 - run_it025_classes.mrcs,-178.115950,-0.115062,23,0.004030
108,run_it025_classes.mrcs:z:23/30 - run_it025_classes.mrcs,1.487868,-0.087806,23,0.004082
109,run_it025_classes.mrcs:z:25/30 - run_it025_classes.mrcs,2.569241,-0.093255,25,0.004138
110,run_it025_classes.mrcs:z:25/30 - run_it025_classes.mrcs,0.729843,0.038766,25,0.004161
111,run_it025_classes.mrcs:z:25/30 - run_it025_classes.mrcs,3.344650,0.116321,25,0.004088
112,run_it025_classes.mrcs:z:25/30 - run_it025_classes.mrcs,1.478273,0.088118,25,0.004109
113,run_it025_classes.mrcs:z:25/30 - run_it025_classes.mrcs,1.087764,0.005945,25,0.004188
114,run_it025_classes.mrcs:z:25/30 - run_it025_classes.mrcs,1.859599,-0.091752,25,0.004083
115,run_it025_classes.mrcs:z:26/30 - run_it025_classes.mrcs,0.753848,-0.083252,26,0.004028
116,run_it025_classes.mrcs:z:26/30 - run_it025_classes.mrcs,0.000000,-0.049710,26,0.004001
117,run_it025_classes.mrcs:z:26/30 - run_it025_classes.mrcs,1.871745,0.093662,26,0.004057
118,run_it025_classes.mrcs:z:26/30 - run_it025_classes.mrcs,-0.362627,0.078505,26,0.004187
119,run_it025_classes.mrcs:z:26/30 - run_it025_classes.mrcs,0.364936,0.000750,26,0.004161
120,run_it025_classes.mrcs:z:26/30 - run_it025_classes.mrcs,0.734521,-0.046646,26,0.004134
