 ,Label,Area,Mean,Min,Max,X,Y,BiologicalReplicate,CellArea,CellMean,CellTotalFluorescence,CellMin,CellMax,CellStd,X_PoleDim,Y_PoleDim,AreaPoleDim,MeanPoleDim,TotalFluorescencePoleDim,MinPoleDim,MaxPoleDim,StdPoleDim,Nb_Pili_PoleDim,Nb_Flagella_PoleDim,X_PoleBright,Y_PoleBright,AreaPoleBright,MeanPoleBright,TotalFluorescencePoleBright,MinPoleBright,MaxPoleBright,StdPoleBright,Nb_Pili_PoleBright,Nb_Flagella_PoleBright,PolarRatio,Strain,Growth
1,mNG_pilH_fliC-_liq_Gasket_0_event8_tirf_RAW_Stack.tif,908,255,255,255,44.86894,32.46476,1,1027,278.14995,285660.0,140,435,65.06291,265.46427,295.16685,156,233.80128,36473.0,105,348,73.77056,0,0,321.6124,254.94018,156,272.50641,42511.0,154,435,79.50593,1,0,0.87579,mNG_pilH_fliC-,Liquid
1,mNG_pilH_fliC-_liq_Gasket_0_event9_tirf_RAW_Stack.tif,380,255,255,255,26.96316,16.59211,1,433,376.72748,163123.0,187,508,85.15392,247.3758,248.2565,112,327.04464,36629.0,169,462,79.73937,0,0,272.65403,239.83291,112,362.01786,40546.0,193,471,85.14661,1,0,0.8378,mNG_pilH_fliC-,Liquid
1,mNG_pilH_fliC-_sol_Gasket_1_event10_tirf_RAW_Stack.tif,543,255,255,255,17.89779,35.27715999999999,1,617,470.4376,290260.0,205,872,119.35164,257.77946000000003,269.65239,112,442.11607,49517.0,236,587,100.4226,0,0,271.02166,309.41411,112,528.22321,59161.0,205,872,191.05325,0,0,1.05006,mNG_pilH_fliC-,Solid
1,mNG_pilH_fliC-_sol_Gasket_1_event11_tirf_RAW_Stack.tif,2120,255,255,255,45.87547,83.92971999999997,1,2353,350.15215,823908.0,127,574,87.2694,447.9808,195.37564,137,334.78102,45865.0,79,549,133.37268999999998,5,0,377.55129,334.38716,137,349.4087600000001,47869.0,129,574,126.95434,8,0,0.97404,mNG_pilH_fliC-,Solid
1,mNG_pilH_fliC-_sol_Gasket_1_event13_tirf_RAW_Stack.tif,788,255,255,255,48.53046,15.15102,1,878,415.38724,364710.0,215,679,91.34822,276.61064,198.45106,156,390.6859,60947.0,183,524,97.42019,5,0,221.50835,187.92976,156,391.74359,61112.0,137,679,145.45793999999995,7,0,0.91254,mNG_pilH_fliC-,Solid
1,mNG_pilH_fliC-_sol_Gasket_1_event16_tirf_RAW_Stack.tif,616,255,255,255,14.47727,39.20617,1,691,425.13025,293765.0,188,742,100.20271,307.89664,277.08867999999995,137,403.0438,55217.0,163,572,123.03705,4,0,295.4817700000001,319.73099,137,444.9562,60959.0,195,742,148.90946,5,0,0.9956,mNG_pilH_fliC-,Solid
1,mNG_pilH_fliC-_sol_Gasket_1_event18_tirf_RAW_Stack.tif,1267,255,255,255,36.7352,59.88358,1,1413,405.5322,573017.0,195,589,90.49516,323.7303100000001,299.11455,156,371.55769,57963.0,163,589,119.46441000000002,8,0,279.25905,218.89135,156,374.62179,58441.0,180,555,109.02538,1,0,0.89961,mNG_pilH_fliC-,Solid
1,mNG_pilH_fliC-_sol_Gasket_1_event20_tirf_RAW_Stack.tif,842,255,255,255,26.11995,50.3753,1,952,379.96113,361723.0,165,527,87.01523,285.73266,377.37393,137,321.78832,44085.0,153,477,94.01411,6,0,313.51748,316.74083,137,359.81022,49294.0,180,527,106.50998,4,0,0.8610700000000001,mNG_pilH_fliC-,Solid
1,mNG_pilH_fliC-_sol_Gasket_1_event2_tirf_RAW_Stack.tif,845,255,255,255,36.5355,30.397040000000004,1,952,369.00735,351295.0,142,541,95.75846,241.20071,289.04151,137,293.11679,40157.0,114,501,114.71878,0,0,190.48871,323.9601,137,297.9635,40821.0,167,414,66.34662,9,0,0.74126,mNG_pilH_fliC-,Solid
1,mNG_pilH_fliC-_sol_Gasket_1_event3_tirf_RAW_Stack.tif,946,255,255,255,52.86258,36.09937,1,1054,260.87192000000005,274959.0,125,393,61.55904,243.85427,238.0342,177,193.68362,34282.0,125,281,43.40705,0,0,290.18848,198.18163,177,251.9435,44594.0,68,391,88.1412,6,0,0.79543,mNG_pilH_fliC-,Solid
1,mNG_pilH_fliC-_sol_Gasket_1_event4_tirf_RAW_Stack.tif,502,255,255,255,30.79482,17.57171,1,565,328.81239,185779.0,161,452,70.98781,177.25211000000004,296.3395,112,290.72321,32561.0,99,426,81.76523,0,0,144.72693,286.7314,112,298.78571,33464.0,137,402,75.33341999999998,6,0,0.83931,mNG_pilH_fliC-,Solid
1,mNG_pilH_fliC-_sol_Gasket_1_event5_tirf_RAW_Stack.tif,377,255,255,255,16.8687,22.68833,1,432,405.65741,175244.0,202,749,115.68446000000002,200.04658,273.02582,112,332.13393,37199.0,121,466,98.68053,0,0,188.96481,249.44102,112,476.28571,53344.0,189,749,163.81595,3,0,0.99262,mNG_pilH_fliC-,Solid
1,mNG_pilH_fliC-_sol_Gasket_1_event6_tirf_RAW_Stack.tif,481,255,255,255,12.94283,26.946990000000003,1,548,556.61679,305026.0,300,1006,151.52308,274.12475,266.79882000000003,69,394.57971,27226.0,311,466,42.58915,0,0,265.81042,225.21416,69,730.42029,50399.0,353,1006,201.70125,10,0,1.01418,mNG_pilH_fliC-,Solid
1,mNG_pilH_fliC-_sol_Gasket_1_event7_tirf_RAW_Stack.tif,658,255,255,255,11.78116,40.56383,1,740,348.42027,257831.0,168,530,78.54515,180.95401,162.50856000000005,112,297.83036,33357.0,131,402,74.24271,2,0,172.68287,109.54831,112,301.79464,33801.0,98,469,103.72183,0,0,0.81135,mNG_pilH_fliC-,Solid
2,mNG_pilH_fliC-_sol_Gasket_1_event7_tirf_RAW_Stack.tif,526,255,255,255,63.70531999999999,20.82319,1,596,345.73658,206059.0,161,666,109.46014,273.23332,393.71396,137,240.49635,32948.0,143,327,49.45648,0,0,304.04122,372.6873,137,393.0219,53844.0,123,666,168.77759,4,0,0.85519,mNG_pilH_fliC-,Solid
1,mNG_pilH_fliC-_sol_Gasket_1_event8_tirf_RAW_Stack.tif,744,255,255,255,39.84677,34.10753,1,839,231.37187000000003,194121.0,104,385,65.48439,266.93023,402.01756,137,170.55473999999995,23366.0,93,231,37.76844000000001,0,0,223.67879,430.90248,137,247.32117,33883.0,106,370,73.18097,2,0,0.8624799999999999,mNG_pilH_fliC-,Solid
2,mNG_pilH_fliC-_sol_Gasket_1_event8_tirf_RAW_Stack.tif,858,255,255,255,40.83683,27.23893,1,964,341.62863,329330.0,185,469,70.84170999999998,300.59796,145.9461,156,306.47436,47810.0,145,443,85.37163000000002,5,0,353.68599,175.34628999999995,156,331.77564,51757.0,191,430,70.54942,2,0,0.90558,mNG_pilH_fliC-,Solid
1,mNG_pilH_fliC-_sol_Gasket_1_event9_tirf_RAW_Stack.tif,916,255,255,255,45.08079,18.1059,1,1019,383.95584,391251.0,199,545,84.50545,268.62874,281.9612,156,336.52564,52498.0,201,437,69.34193,1,0,206.46365,263.72364,156,395.80128,61745.0,180,543,108.89796,6,0,0.93455,mNG_pilH_fliC-,Solid
1,mNG_pilH_fliC-_liq_Gasket_0_event10_tirf_RAW_Stack.tif,814,255,255,255,34.54668,33.15233,1,922,314.09653,289597.0,172,497,69.46129,323.57797,284.95645,156,281.5641,43924.0,121,406,76.62941,0,0,278.55425,244.00074,156,303.00641,47269.0,134,497,91.57077,5,0,0.89864,mNG_pilH_fliC-,Liquid
1,mNG_pilH_fliC-_liq_Gasket_0_event11_tirf_RAW_Stack.tif,856,255,255,255,43.07827,26.77804,1,969,257.72549,249736.0,136,446,56.85665,247.24763,252.36702,137,239.43796,32803.0,102,351,72.61258000000002,0,0,306.10151,220.43804,137,247.28467,33878.0,112,446,89.25838,1,0,0.92396,mNG_pilH_fliC-,Liquid
1,mNG_pilH_fliC-_liq_Gasket_0_event12_tirf_RAW_Stack.tif,741,255,255,255,36.94399,27.26923,1,839,320.03099,268506.0,153,460,73.74351999999998,283.7266,230.79315,137,291.64234,39955.0,137,460,85.70081,0,0,238.48034,261.51251,137,307.9635,42191.0,159,456,83.99198,1,0,0.90893,mNG_pilH_fliC-,Liquid
1,mNG_pilH_fliC-_liq_Gasket_0_event13_tirf_RAW_Stack.tif,769,255,255,255,45.72367,15.272429999999998,1,858,328.51049,281862.0,165,457,68.14517,206.65816,237.10969,156,279.08974,43538.0,117,413,81.29249,2,0,265.29128,245.25459,156,299.14744,46667.0,100,457,105.57613,0,0,0.82365,mNG_pilH_fliC-,Liquid
2,mNG_pilH_fliC-_liq_Gasket_0_event13_tirf_RAW_Stack.tif,626,255,255,255,35.0607,23.45048,1,710,252.83803,179515.0,132,341,51.31072,314.77003,277.38716,137,229.0073,31374.0,125,304,53.15135,0,0,354.79602,254.61093,137,238.77372000000003,32712.0,113,329,59.60001,1,0,0.88345,mNG_pilH_fliC-,Liquid
1,mNG_pilH_fliC-_liq_Gasket_0_event14_tirf_RAW_Stack.tif,606,255,255,255,15.30858,39.48515,1,677,240.09453,162544.0,125,313,49.63518,135.19925,340.7084200000001,137,198.27007,27163.0,73,282,63.84591999999999,0,0,127.4589,298.17226,137,231.59124,31728.0,104,309,57.31717,4,0,0.8356399999999999,mNG_pilH_fliC-,Liquid
2,mNG_pilH_fliC-_liq_Gasket_0_event14_tirf_RAW_Stack.tif,401,255,255,255,25.60224,17.89651,1,454,215.62335,97893.0,119,276,40.41481,328.00866,177.11701000000005,137,190.9927,26166.0,93,267,53.59797,0,0,304.88729,169.18671,137,211.10949,28922.0,134,270,37.39115,0,0,0.84544,mNG_pilH_fliC-,Liquid
3,mNG_pilH_fliC-_liq_Gasket_0_event14_tirf_RAW_Stack.tif,419,255,255,255,27.63604,11.5716,1,474,202.89873,96174.0,102,265,42.76721,359.2537200000001,377.14926,112,169.20536,18951.0,82,230,40.52519,1,0,330.68511,383.57872,112,198.41071,22222.0,91,265,49.56887,0,0,0.8354799999999999,mNG_pilH_fliC-,Liquid
1,mNG_pilH_fliC-_liq_Gasket_0_event15_tirf_RAW_Stack.tif,767,255,255,255,46.18188,17.616039999999995,1,860,260.88023,224357.0,136,430,57.72187,231.41392,291.05434,137,258.0073,35347.0,109,430,86.0732,1,0,292.53667,299.31058,137,258.94161,35475.0,116,428,77.2451,0,0,0.98652,mNG_pilH_fliC-,Liquid
1,mNG_pilH_fliC-_liq_Gasket_0_event16_tirf_RAW_Stack.tif,678,255,255,255,24.20354,39.77729,1,773,236.1436,182539.0,117,345,55.35864,266.97124,259.41506,137,190.22628,26061.0,80,279,56.32469,0,0,239.24661,306.71267,137,235.21898,32225.0,111,344,70.94143000000003,0,0,0.85429,mNG_pilH_fliC-,Liquid
1,mNG_pilH_fliC-_liq_Gasket_0_event17_tirf_RAW_Stack.tif,589,255,255,255,12.62564,36.67657,1,661,259.46293,171505.0,134,411,54.16496,230.78637,302.91142,137,216.93431,29720.0,88,311,64.88624,0,0,234.78574,256.9701,137,248.43066,34035.0,103,411,82.48724,0,0,0.8357100000000001,mNG_pilH_fliC-,Liquid
1,mNG_pilH_fliC-_liq_Gasket_0_event18_tirf_RAW_Stack.tif,585,255,255,255,36.98034000000001,11.80769,1,654,328.66208,214945.0,175,426,60.75493,234.20174,254.22478,137,267.23358,36611.0,91,410,97.73428,2,0,277.77476,249.55582,137,303.28467,41550.0,162,426,72.86964,0,0,0.7924800000000001,mNG_pilH_fliC-,Liquid
1,mNG_pilH_fliC-_liq_Gasket_0_event19_tirf_RAW_Stack.tif,748,255,255,255,12.85561,49.20455,1,834,285.36811,237997.0,146,539,62.7864,251.71085,271.21991,137,239.0219,32746.0,103,327,63.0782,1,0,258.30865,329.77789,137,301.13139,41255.0,94,539,123.19227,0,0,0.92224,mNG_pilH_fliC-,Liquid
