 	Label	BiologicalReplicate	CellArea	CellMean	CellTotalFluorescence	CellMin	CellMax	CellStd	X_PoleDim	Y_PoleDim	AreaPoleDim	MeanPoleDim	TotalFluorescencePoleDim	MinPoleDim	MaxPoleDim	StdPoleDim	Nb_Pili_PoleDim	Nb_Flagella_PoleDim	X_PoleBright	Y_PoleBright	AreaPoleBright	MeanPoleBright	TotalFluorescencePoleBright	MinPoleBright	MaxPoleBright	StdPoleBright	Nb_Pili_PoleBright	Nb_Flagella_PoleBright	PolarRatio	Strain	Growth	Cell_ID	Pole_RadiusDim	Pole_RadiusBright
2	mNG_PilG_fliC-_sol_Microchannel_BR1_1_event30_tirf_RAW_Stack.tif	1	1420	132.0331	187487	49	476	60.38535	289.36996	368.66092	156	123.85256	19321	30	290	58.0499	6	0	257	288	156	193.84615	30240	48	476	106.49447	3	0	1.27608	mNG_PilG_fliC-	Solid	2	13.72604	13.72604
1	mNG_PilG_fliC-_sol_Microchannel_BR1_1_event4_tirf_RAW_Stack.tif	1	842	93.03325	78334	45	198	25.65399	211.06657	188.7287	177	83	14691	42	127	26.8671	0	0	165	176	177	94.40678	16710	37	198	38.1859	2	0	0.92232	mNG_PilG_fliC-	Solid	1	14.59194	14.59194
1	mNG_PilG_fliC-_sol_Microchannel_BR1_1_event5_tirf_RAW_Stack.tif	1	1371	116.92779	160308	52	396	46.63461	261.34648	287.2101	177	137.72881	24378	46	337	73.6915	4	0	233	213	177	149.72316	26501	61	396	74.4123	5	0	1.33575	mNG_PilG_fliC-	Solid	1	14.57997	14.57997
1	mNG_PilG_fliC-_sol_Microchannel_BR1_1_event6_tirf_RAW_Stack.tif	1	2428	122.29283	296927	38	332	44.24688	293	181	177	155.90395	27595	59	293	57.09867	3	0	293	181	177	155.90395	27595	59	293	57.09867	4	0	1.33759	mNG_PilG_fliC-	Solid	1	14.43303	14.43303
1	mNG_PilG_fliC-_sol_Microchannel_BR1_1_event7_tirf_RAW_Stack.tif	1	827	106.38452	87980	51	211	28.96507	304.5295	156.04092	177	99.36158	17587	35	163	30.40436	3	0	288.95554	196.14852	177	109.0452	19301	45	211	40.99083	4	0	0.9647	mNG_PilG_fliC-	Solid	1	14.92353	14.92353
1	mNG_PilG_fliC-_sol_Microchannel_BR1_1_event9_tirf_RAW_Stack.tif	1	844	88.44668	74649	44	246	34.98026	173	220	137	101.06569	13846	37	246	55.52228	2	0	124	204	137	118.06569	16175	50	243	47.19051	1	0	1.3994	mNG_PilG_fliC-	Solid	1	12.73378	12.73378
1	mNG_PilG_fliC-_sol_Microchannel_BR2_0_event10_tirf_RAW_Stack.tif	2	872	102.06193	88998	42	371	47.64231	202	233	80	130.775	10462	70	213	36.08709	2	0	142	249	80	210.475	16838	78	371	76.4742	4	0	1.96903	mNG_PilG_fliC-	Solid	1	9.94937	9.94937
1	mNG_PilG_fliC-_sol_Microchannel_BR2_0_event11_tirf_RAW_Stack.tif	2	850	110.03059	93526	63	466	53.8481	303.38476	240.30991	80	128.3	10264	66	215	39.77004	1	0	239.52068	214.92882	80	154.725	12378	62	461	106.48551	3	0	1.37751	mNG_PilG_fliC-	Solid	1	9.82993	9.82993
1	mNG_PilG_fliC-_sol_Microchannel_BR2_0_event12_tirf_RAW_Stack.tif	2	789	192.28264	151711	95	277	46.55276	250.7977	265.34216	156	171.30769	26724	71	260	55.09495	0	0	299.2267	266.12603	156	185.33333	28912	71	274	63.90197	0	0	0.88534	mNG_PilG_fliC-	Solid	1	13.65891	13.65891
1	mNG_PilG_fliC-_sol_Microchannel_BR2_0_event13_tirf_RAW_Stack.tif	2	689	124.67489	85901	53	553	89.03765	237.62807	263.4809	137	75.48905	10342	41	100	16.08485	0	0	199	266	137	252.87591	34644	89	553	132.14166	3	0	1.6653	mNG_PilG_fliC-	Solid	1	12.78011	12.78011
1	mNG_PilG_fliC-_sol_Microchannel_BR2_0_event14_tirf_RAW_Stack.tif	2	1060	78.45189	83159	40	183	23.648	188.21207	334.65767	156	79.58974	12416	29	161	33.64096	1	0	126	304	156	91.91026	14338	39	183	36.50848	1	0	1.13715	mNG_PilG_fliC-	Solid	1	13.36732	13.36732
1	mNG_PilG_fliC-_sol_Microchannel_BR2_0_event15_tirf_RAW_Stack.tif	2	1024	158.58887	162395	55	515	81.39215	307	209	156	182.46795	28465	55	419	90.04769	2	0	366	217	156	263.30769	41076	66	515	129.4291	2	0	1.70909	mNG_PilG_fliC-	Solid	1	13.68867	13.68867
1	mNG_PilG_fliC-_sol_Microchannel_BR2_0_event16_tirf_RAW_Stack.tif	2	1303	87.32694	113787	50	279	27.81797	212.12025	228.17447	177	85.70056	15169	42	161	28.17469	1	0	295	236	177	111.35028	19709	47	279	58.0197	3	0	1.18492	mNG_PilG_fliC-	Solid	1	14.43292	14.43292
1	mNG_PilG_fliC-_sol_Microchannel_BR2_0_event18_tirf_RAW_Stack.tif	2	883	91.3137	80630	46	228	28.12876	295.30184	231.19329	137	92.64964	12693	49	150	27.2679	0	0	281	283	137	109.15328	14954	39	228	52.85286	2	0	1.15979	mNG_PilG_fliC-	Solid	1	12.84376	12.84376
1	mNG_PilG_fliC-_sol_Microchannel_BR2_0_event19_tirf_RAW_Stack.tif	2	1296	81.19676	105231	37	352	41.39467	268	313	112	126.46429	14164	46	268	58.35275	3	0	193	272	112	159.24107	17835	66	352	72.99676	2	0	2.09114	mNG_PilG_fliC-	Solid	1	11.85515	11.85515
1	mNG_PilG_fliC-_sol_Microchannel_BR2_0_event2_tirf_RAW_Stack.tif	2	954	87.68239	83649	38	268	32.31259	332.95974	211.04204	69	66.53623	4591	53	100	9.50941	0	0	399	220	69	99.72464	6881	43	159	33.58741	0	0	0.93983	mNG_PilG_fliC-	Solid	1	8.1891	8.1891
1	mNG_PilG_fliC-_sol_Microchannel_BR2_0_event20_tirf_RAW_Stack.tif	2	1021	90.19099	92085	43	258	33.2174	265.41341	335.76542	177	102.0113	18056	36	258	53.78345	3	0	266	275	177	103.38418	18299	33	224	46.12396	1	0	1.22913	mNG_PilG_fliC-	Solid	1	14.51665	14.51665
1	mNG_PilG_fliC-_sol_Microchannel_BR2_0_event23_tirf_RAW_Stack.tif	2	1841	85.43455	157285	41	434	46.60331	337.74251	200.09407	293	110.99659	32522	42	335	64.42158	2	0	246	208	293	113.8157	33348	39	434	81.82591	3	0	1.54318	mNG_PilG_fliC-	Solid	1	18.64383	18.64383
1	mNG_PilG_fliC-_sol_Microchannel_BR2_0_event24_tirf_RAW_Stack.tif	2	1160	81.30345	94312	38	256	30.91087	390.78959	176.43937	177	84.68927	14990	33	180	38.98105	0	0	328	143	177	114.13559	20202	46	256	49.89391	3	0	1.35532	mNG_PilG_fliC-	Solid	1	14.31744	14.31744
2	mNG_PilG_fliC-_sol_Microchannel_BR2_0_event24_tirf_RAW_Stack.tif	2	1221	78.51597	95868	35	255	31.54938	183.19039	341.48529	112	104.51786	11706	35	221	50.5109	2	0	116	297	112	126.49107	14167	54	255	50.53498	3	0	1.64523	mNG_PilG_fliC-	Solid	2	11.91394	11.91394
1	mNG_PilG_fliC-_sol_Microchannel_BR2_0_event25_tirf_RAW_Stack.tif	2	1252	81.27796	101760	41	255	31.09575	250.06585	225.66204	156	101.14103	15778	39	231	48.03728	2	0	183	189	156	110.16667	17186	50	255	50.57908	3	0	1.44361	mNG_PilG_fliC-	Solid	1	13.61705	13.61705
1	mNG_PilG_fliC-_sol_Microchannel_BR2_0_event26_tirf_RAW_Stack.tif	2	946	88.57928	83796	42	217	29.43982	228.41471	250.91349	156	99.14103	15466	41	217	44.34708	1	0	268	210	156	101.83333	15886	42	210	42.7925	2	0	1.2148	mNG_PilG_fliC-	Solid	1	13.4703	13.4703
1	mNG_PilG_fliC-_sol_Microchannel_BR2_0_event27_tirf_RAW_Stack.tif	2	953	81.54774	77715	39	346	40.37919	247.19034	349.15971	156	64.76923	10104	29	94	18.55414	0	0	203	320	156	134.62821	21002	53	346	72.47489	5	0	1.37113	mNG_PilG_fliC-	Solid	1	13.92839	13.92839
1	mNG_PilG_fliC-_sol_Microchannel_BR2_0_event28_tirf_RAW_Stack.tif	2	984	87.36179	85964	44	219	28.21822	336.70228	258.21629	177	94.61017	16746	40	184	34.44842	1	0	283.36166	265.26383	177	107.16949	18969	42	219	42.76674	3	0	1.26491	mNG_PilG_fliC-	Solid	1	14.79676	14.79676
1	mNG_PilG_fliC-_sol_Microchannel_BR2_0_event3_tirf_RAW_Stack.tif	2	822	92.14477	75743	50	363	42.88056	207	163	80	108.4875	8679	48	176	35.94088	1	0	214	98	80	184.75	14780	89	363	79.06455	3	0	1.85643	mNG_PilG_fliC-	Solid	1	9.82993	9.82993
1	mNG_PilG_fliC-_sol_Microchannel_BR2_0_event30_tirf_RAW_Stack.tif	2	1093	82.56908	90248	37	345	39.28696	263.35179	264.2411	208	82.77885	17218	38	187	34.34282	0	0	217.39345	287.25727	208	115.90865	24109	38	345	68.79485	1	0	1.37478	mNG_PilG_fliC-	Solid	1	15.77158	15.77158
1	mNG_PilG_fliC-_sol_Microchannel_BR2_0_event4_tirf_RAW_Stack.tif	2	610	109.29672	66671	56	191	26.35289	236.8545	237.17047	137	102.0292	13978	35	178	37.76844	1	0	273.07958	226.60345	137	110.40146	15125	50	191	38.16421	0	0	0.94997	mNG_PilG_fliC-	Solid	1	12.26742	12.26742
1	mNG_PilG_fliC-_sol_Microchannel_BR2_0_event5_tirf_RAW_Stack.tif	2	792	87.41162	69230	48	192	21.83549	188	228	137	91.62044	12552	48	133	21.44594	0	0	225	266	137	98.89781	13549	41	192	39.97504	0	0	1.14411	mNG_PilG_fliC-	Solid	1	12.38476	12.38476
1	mNG_PilG_fliC-_sol_Microchannel_BR2_0_event6_tirf_RAW_Stack.tif	2	634	112.17981	71122	57	379	48.07389	331.12143	250.92005	97	122.40206	11873	61	199	36.97653	0	0	311.54163	293.38741	97	176.08247	17080	60	379	85.93829	3	0	1.55722	mNG_PilG_fliC-	Solid	1	10.53298	10.53298
1	mNG_PilG_fliC-_sol_Microchannel_BR2_0_event7_tirf_RAW_Stack.tif	2	862	99.13805	85457	53	269	30.49523	303	281	112	109.16071	12226	54	183	32.56056	0	0	365.15457	279.20112	112	134.83929	15102	48	269	58.15954	0	0	1.33902	mNG_PilG_fliC-	Solid	1	11.93511	11.93511
1	mNG_PilG_fliC-_sol_Microchannel_BR2_0_event8_tirf_RAW_Stack.tif	2	670	76.3194	51134	42	187	22.82813	284.98123	255.17105	97	86	8342	49	128	23.56551	0	0	236.85334	269.26666	97	102.54639	9947	41	187	40.3908	1	0	1.36624	mNG_PilG_fliC-	Solid	1	10.30716	10.30716
1	mNG_PilG_fliC-_sol_Microchannel_BR3_0_event10_tirf_RAW_Stack.tif	3	1050	137.03619	143888	68	462	59.02886	335.3569	248.21332	156	137.07692	21384	53	258	56.70905	2	0	274	238	156	222.85256	34765	84	462	98.84963	2	0	1.51374	mNG_PilG_fliC-	Solid	1	13.37904	13.37904
1	mNG_PilG_fliC-_sol_Microchannel_BR3_0_event11_tirf_RAW_Stack.tif	3	792	77.84975	61657	36	157	22.46394	226	280	156	81.50641	12715	36	139	26.15426	1	0	190.11512	302.64268	156	87.69872	13681	42	157	29.46215	1	0	1.15168	mNG_PilG_fliC-	Solid	1	13.95224	13.95224
1	mNG_PilG_fliC-_sol_Microchannel_BR3_0_event12_tirf_RAW_Stack.tif	3	1140	59.95702	68351	18	275	35.49597	241	280	156	102.78846	16035	29	275	61.3	1	0	241	280	156	102.78846	16035	29	275	61.3	2	0	2.34582	mNG_PilG_fliC-	Solid	1	13.45362	13.45362
1	mNG_PilG_fliC-_sol_Microchannel_BR3_0_event14_tirf_RAW_Stack.tif	3	1107	82.42367	91243	47	198	22.16322	281.22253	209.43119	177	83.88701	14848	40	167	29.94253	2	0	337.09904	174.0786	177	92.77401	16421	43	198	37.45929	3	0	1.10903	mNG_PilG_fliC-	Solid	1	14.34661	14.34661
1	mNG_PilG_fliC-_sol_Microchannel_BR3_0_event15_tirf_RAW_Stack.tif	3	1081	70.50046	76211	32	174	24.05169	336	306	156	90.10256	14056	35	162	31.62016	1	0	277	331	156	91.61538	14292	37	174	35.08303	0	0	1.4598	mNG_PilG_fliC-	Solid	1	13.44622	13.44622
1	mNG_PilG_fliC-_sol_Microchannel_BR3_0_event16_tirf_RAW_Stack.tif	3	917	72.20829	66215	40	230	26.4269	160.76131	274.69649	156	74.27564	11587	38	112	19.55491	0	0	109	258	156	101.02564	15760	41	230	47.07015	2	0	1.36433	mNG_PilG_fliC-	Solid	1	13.30074	13.30074
1	mNG_PilG_fliC-_sol_Microchannel_BR3_0_event17_tirf_RAW_Stack.tif	3	1188	81.02189	96254	38	241	31.17064	204	246	156	104.39744	16286	39	224	44.03396	2	0	171	310	156	106.14744	16559	42	241	49.83933	3	0	1.45435	mNG_PilG_fliC-	Solid	1	13.26219	13.26219
1	mNG_PilG_fliC-_sol_Microchannel_BR3_0_event18_tirf_RAW_Stack.tif	3	974	78.56776	76525	37	242	28.1328	246.95269	251.76187	177	80.49718	14248	39	160	30.7732	0	0	189	253	177	96.59887	17098	40	242	47.56673	0	0	1.21516	mNG_PilG_fliC-	Solid	1	14.17674	14.17674
1	mNG_PilG_fliC-_sol_Microchannel_BR3_0_event19_tirf_RAW_Stack.tif	3	811	79.90136	64800	37	251	31.19493	283.98385	308.53891	156	67.33974	10505	32	102	20.19629	0	0	247	330	156	112.62821	17570	45	251	49.84754	0	0	1.22265	mNG_PilG_fliC-	Solid	1	13.95965	13.95965
1	mNG_PilG_fliC-_sol_Microchannel_BR3_0_event2_tirf_RAW_Stack.tif	3	1149	94.03568	108047	43	284	38.96563	288	303	177	108.62712	19227	39	284	63.14645	0	0	227	274	177	121.60452	21524	46	271	55.29211	2	0	1.35992	mNG_PilG_fliC-	Solid	1	14.59194	14.59194
1	mNG_PilG_fliC-_sol_Microchannel_BR3_0_event20_tirf_RAW_Stack.tif	3	894	77.23154	69045	38	179	24.81445	199	236	156	87.88462	13710	38	168	32.9018	1	0	250	238	156	90.41667	14105	41	179	37.1242	0	0	1.25844	mNG_PilG_fliC-	Solid	1	13.59027	13.59027
1	mNG_PilG_fliC-_sol_Microchannel_BR3_0_event21_tirf_RAW_Stack.tif	3	763	73.61861	56171	38	228	27.2	252	237	137	71.37956	9779	31	109	19.22741	1	0	266	280	137	99.9635	13695	38	228	48.50355	3	0	1.28126	mNG_PilG_fliC-	Solid	1	12.76498	12.76498
1	mNG_PilG_fliC-_sol_Microchannel_BR3_0_event22_tirf_RAW_Stack.tif	3	1109	82.81335	91840	43	332	36.48743	221	237	137	93.23358	12773	40	174	31.17061	1	0	287	269	137	130.94891	17940	42	332	75.70457	2	0	1.53118	mNG_PilG_fliC-	Solid	1	12.30651	12.30651
1	mNG_PilG_fliC-_sol_Microchannel_BR3_0_event23_tirf_RAW_Stack.tif	3	755	77.50993	58520	37	178	23.29384	202	208	156	79.16026	12349	39	127	22.10401	1	0	227.90029	241.57392	156	85.05769	13269	28	178	38.0199	2	0	1.10553	mNG_PilG_fliC-	Solid	1	13.60147	13.60147
1	mNG_PilG_fliC-_sol_Microchannel_BR3_0_event24_tirf_RAW_Stack.tif	3	1152	70.78125	81540	39	171	19.80936	292.8523	363.53675	156	76.49359	11933	38	148	29.10193	2	0	301	285	156	84.01923	13107	36	171	32.88386	2	0	1.19319	mNG_PilG_fliC-	Solid	1	13.0384	13.0384
1	mNG_PilG_fliC-_sol_Microchannel_BR3_0_event25_tirf_RAW_Stack.tif	3	1097	72.60802	79651	34	206	25.36413	156.19558	274.94612	177	76.10734	13471	30	170	35.80574	2	0	107	234	177	90.71186	16056	39	206	40.57627	1	0	1.2364	mNG_PilG_fliC-	Solid	1	14.15985	14.15985
1	mNG_PilG_fliC-_sol_Microchannel_BR3_0_event26_tirf_RAW_Stack.tif	3	1123	90.78094	101947	40	362	41.96378	209	229	156	111.42308	17382	56	214	39.37463	2	0	250.87501	277.38299	156	138.91667	21671	44	362	78.26168	2	0	1.61403	mNG_PilG_fliC-	Solid	1	13.93791	13.93791
1	mNG_PilG_fliC-_sol_Microchannel_BR3_0_event27_tirf_RAW_Stack.tif	3	672	88.81101	59681	42	260	31.37103	249.3877	266.81843	137	76.83942	10527	38	105	18.80012	0	0	259	230	137	115.51825	15826	39	260	51.89116	1	0	1.14856	mNG_PilG_fliC-	Solid	1	12.67083	12.67083
1	mNG_PilG_fliC-_sol_Microchannel_BR3_0_event28_tirf_RAW_Stack.tif	3	1164	73.0043	84977	36	214	24.74035	305.89792	325.71427	156	77.40385	12075	26	155	32.51377	3	0	244	287	156	101.47436	15830	46	214	39.72802	1	0	1.33519	mNG_PilG_fliC-	Solid	1	13.86094	13.86094
1	mNG_PilG_fliC-_sol_Microchannel_BR3_0_event29_tirf_RAW_Stack.tif	3	781	77.39821	60448	41	137	17.79741	285.05625	259.3241	137	68.59854	9398	37	107	17.48212	2	0	305	220	137	84.85401	11625	42	137	24.48936	2	0	0.98669	mNG_PilG_fliC-	Solid	1	12.89286	12.89286
1	mNG_PilG_fliC-_sol_Microchannel_BR3_0_event3_tirf_RAW_Stack.tif	3	530	90.01321	47707	52	152	20.13456	315.95396	258.36483	137	89.40146	12248	49	152	27.27298	0	0	302	234	137	98.79562	13535	59	137	18.72523	1	0	1.09876	mNG_PilG_fliC-	Solid	1	12.81148	12.81148
1	mNG_PilG_fliC-_sol_Microchannel_BR3_0_event30_tirf_RAW_Stack.tif	3	839	71.30274	59823	35	174	20.82445	268	311	177	65.22599	11545	35	93	15.97672	1	0	277	267	177	78.9774	13979	35	174	33.07961	2	0	1.01954	mNG_PilG_fliC-	Solid	1	14.2443	14.2443
1	mNG_PilG_fliC-_sol_Microchannel_BR3_0_event31_tirf_RAW_Stack.tif	3	1409	77.95245	109835	37	260	26.38795	212.39205	157.58997	177	76	13452	27	156	30.30189	2	0	163	226	177	100.0565	17710	36	260	53.72676	3	0	1.18045	mNG_PilG_fliC-	Solid	1	14.48875	14.48875
1	mNG_PilG_fliC-_sol_Microchannel_BR3_0_event4_tirf_RAW_Stack.tif	3	814	80.51474	65539	25	400	51.53865	260.93059	251.08043	156	71.75	11193	22	157	34.42947	2	0	240	209	156	136.15385	21240	34	400	90.69148	4	0	1.57627	mNG_PilG_fliC-	Solid	1	13.33605	13.33605
1	mNG_PilG_fliC-_sol_Microchannel_BR3_0_event6_tirf_RAW_Stack.tif	3	782	72.23146	56485	39	188	26.54427	238.60841	274.3235	156	54.10897	8441	35	168	20.76243	2	0	278	304	156	84.15385	13128	37	169	34.48911	0	0	0.93057	mNG_PilG_fliC-	Solid	1	13.0384	13.0384
2	mNG_PilG_fliC-_sol_Microchannel_BR3_0_event6_tirf_RAW_Stack.tif	3	658	75.87538	49926	40	204	25.32209	332	267	112	90.73214	10162	47	142	23.95603	2	0	364	246	112	100.4375	11249	45	204	39.13589	1	0	1.45481	mNG_PilG_fliC-	Solid	2	11.7424	11.7424
1	mNG_PilG_fliC-_sol_Microchannel_BR3_0_event7_tirf_RAW_Stack.tif	3	856	65.04907	55682	32	112	15.42353	173.67266	301.58151	177	60.59887	10726	39	89	13.69815	1	0	135.08751	325.02448	177	68.72316	12164	34	112	21.17211	2	0	0.98987	mNG_PilG_fliC-	Solid	1	14.54132	14.54132
