 ,Label,Area,Mean,Min,Max,X,Y,BiologicalReplicate,CellArea,CellMean,CellTotalFluorescence,CellMin,CellMax,CellStd,X_PoleDim,Y_PoleDim,AreaPoleDim,MeanPoleDim,TotalFluorescencePoleDim,MinPoleDim,MaxPoleDim,StdPoleDim,Nb_Pili_PoleDim,Nb_Flagella_PoleDim,X_PoleBright,Y_PoleBright,AreaPoleBright,MeanPoleBright,TotalFluorescencePoleBright,MinPoleBright,MaxPoleBright,StdPoleBright,Nb_Pili_PoleBright,Nb_Flagella_PoleBright,PolarRatio
1,pilB_mNG_Agarose_Gasket_3_event10_tirf_RAW_Stack.tif,910,255,255,255,37.76813,30.40659,1,1015,146.08768,148279.0,58,381,57.59542,268.0,162.0,37,218.2973,8077.0,108,310,64.49542,0,0,318.66667,194.0,37,259.43242999999995,9599.0,172,381,57.521269999999994,0,1,1.7210299999999998
2,pilB_mNG_Agarose_Gasket_3_event10_tirf_RAW_Stack.tif,685,255,255,255,29.59635,29.269340000000003,1,774,121.45348999999999,94005.0,52,619,70.07925,390.0,248.0,37,113.64865,4205.0,93,128,9.764489999999999,0,0,356.66667,216.0,37,284.05405,10510.0,107,619,162.6629,0,1,1.75553
3,pilB_mNG_Agarose_Gasket_3_event10_tirf_RAW_Stack.tif,750,255,255,255,33.03733,25.88133,1,840,226.6119,190354.0,77,1215,144.10953,416.66667,327.33333,37,209.86486000000002,7765.0,161,240,20.456129999999998,0,1,374.66667,348.0,37,700.51351,25919.0,300,1215,292.04058,0,0,2.22554
4,pilB_mNG_Agarose_Gasket_3_event10_tirf_RAW_Stack.tif,682,255,255,255,16.73314,38.843109999999996,1,761,141.92378,108004.0,61,744,84.07154,220.66667,297.33333,37,138.81081,5136.0,92,172,23.85586,0,0,224.66667,344.66667,37,426.02702999999997,15763.0,205,744,167.11913,0,1,2.22745
5,pilB_mNG_Agarose_Gasket_3_event10_tirf_RAW_Stack.tif,602,255,255,255,28.5598,28.112959999999998,1,681,132.34361,90126.0,47,761,93.02883,172.0,384.0,37,113.86486000000001,4213.0,79,135,14.61765,0,0,199.33333000000002,409.33333,37,426.32432,15774.0,218,761,171.94621999999998,0,1,2.3374599999999996
1,pilB_mNG_Agarose_Gasket_3_event11_tirf_RAW_Stack.tif,1072,255,255,255,44.267720000000004,25.5653,1,1188,142.15488,168880.0,53,346,52.23385,394.0,202.0,37,164.54054,6088.0,109,206,24.10924,0,1,327.0,179.0,37,278.10811,10290.0,191,346,44.924490000000006,1,0,1.61673
2,pilB_mNG_Agarose_Gasket_3_event11_tirf_RAW_Stack.tif,1148,255,255,255,51.06707,24.486929999999997,1,1264,183.51108,231958.0,70,502,71.17349,323.0,312.0,37,251.08108,9290.0,197,289,24.62878,0,0,391.0,292.0,37,368.37838,13630.0,221,502,87.7621,0,1,1.76321
3,pilB_mNG_Agarose_Gasket_3_event11_tirf_RAW_Stack.tif,703,255,255,255,32.91679,22.40612,1,782,104.94628999999999,82068.0,42,195,33.14566,155.0,434.0,37,133.83784,4952.0,95,155,17.86759,0,0,192.0,418.0,37,137.86486000000002,5101.0,80,193,30.54065,0,1,1.33559
1,pilB_mNG_Agarose_Gasket_3_event12_tirf_RAW_Stack.tif,781,255,255,255,35.02241,28.767609999999998,1,877,115.87456999999999,101622.0,43,356,44.24842,187.0,232.0,37,149.21622,5521.0,121,163,11.0658,0,0,148.0,262.0,37,168.72973000000002,6243.0,63,356,92.44057,0,1,1.4206299999999998
2,pilB_mNG_Agarose_Gasket_3_event12_tirf_RAW_Stack.tif,960,255,255,255,14.802079999999998,45.63542,1,1061,134.39585,142594.0,51,393,52.216640000000005,231.0,214.0,37,211.10811,7811.0,149,290,42.170809999999996,0,1,235.0,149.0,37,257.83783999999997,9540.0,119,393,85.63375,0,1,1.84781
3,pilB_mNG_Agarose_Gasket_3_event12_tirf_RAW_Stack.tif,898,255,255,255,36.09688,30.03786,1,1009,117.7443,118804.0,50,431,52.45268000000001,257.0,422.0,37,111.10811000000001,4111.0,83,125,11.14247,0,0,294.0,383.0,37,277.0,10249.0,154,431,87.55157,0,1,1.7372
4,pilB_mNG_Agarose_Gasket_3_event12_tirf_RAW_Stack.tif,846,255,255,255,41.04374,21.40898,1,937,121.62006000000001,113958.0,48,223,38.8137,455.0,287.0,37,134.72973000000002,4985.0,83,166,23.11042,0,0,399.0,298.0,37,168.67568,6241.0,95,223,39.63518,0,0,1.2743799999999998
1,pilB_mNG_Agarose_Gasket_3_event13_tirf_RAW_Stack.tif,816,255,255,255,20.76961,39.973040000000005,1,905,208.23757,188455.0,68,453,74.9602,248.0,370.0,37,264.32432,9780.0,187,313,37.83227,1,0,261.0,317.0,37,320.89189,11873.0,190,453,80.1685,1,1,1.45776
2,pilB_mNG_Agarose_Gasket_3_event13_tirf_RAW_Stack.tif,864,255,255,255,14.09491,45.8669,1,957,150.37304,143907.0,62,263,45.03931,320.5,306.0,37,185.72973000000002,6872.0,123,215,25.57196,0,0,322.5,244.0,37,187.43243,6935.0,103,263,51.843540000000004,0,1,1.26634
1,pilB_mNG_Agarose_Gasket_3_event14_tirf_RAW_Stack.tif,708,255,255,255,13.735879999999998,42.48729,1,783,153.12005,119893.0,55,442,56.172419999999995,268.5,258.5,37,94.78378000000001,3507.0,44,179,38.51777,0,0,268.5,311.0,37,292.35135,10817.0,153,442,77.81396,0,1,1.3
2,pilB_mNG_Agarose_Gasket_3_event14_tirf_RAW_Stack.tif,613,255,255,255,14.73654,37.56852,1,681,170.67107,116227.0,59,349,61.054919999999996,285.0,91.0,37,135.83784,5026.0,69,214,45.08234,2,0,284.5,134.5,37,266.24324,9851.0,138,349,60.391040000000004,0,1,1.2040600000000001
3,pilB_mNG_Agarose_Gasket_3_event14_tirf_RAW_Stack.tif,796,255,255,255,16.9397,44.94975,1,882,104.47391999999999,92146.0,48,284,40.45678,331.5,29.0,37,99.67568,3688.0,54,139,27.096590000000003,1,0,337.0,80.0,37,223.43242999999998,8267.0,159,284,39.08576,1,1,1.62781
4,pilB_mNG_Agarose_Gasket_3_event14_tirf_RAW_Stack.tif,765,255,255,255,31.012420000000002,34.7,1,860,71.67907,61644.0,36,159,21.12454,67.5,32.5,37,89.62162,3316.0,52,135,26.816609999999997,0,1,102.0,71.5,37,120.94595,4475.0,74,159,23.332079999999998,0,1,1.53665
1,pilB_mNG_Agarose_Gasket_3_event15_tirf_RAW_Stack.tif,760,255,255,255,18.55395,37.34868,1,842,141.80048,119396.0,55,518,63.39963,304.0,167.0,37,133.13513999999998,4926.0,95,165,17.53435,1,2,313.0,118.0,37,324.45946000000004,12005.0,133,518,115.26433,1,0,1.7148900000000002
2,pilB_mNG_Agarose_Gasket_3_event15_tirf_RAW_Stack.tif,1079,255,255,255,26.82623,51.44161,1,1197,212.92565,254872.0,68,1075,121.54711999999999,215.0,91.5,37,194.72973000000002,7205.0,93,279,60.33685,0,1,189.0,158.0,37,714.43243,26434.0,362,1075,213.36895,0,1,2.3075
3,pilB_mNG_Agarose_Gasket_3_event15_tirf_RAW_Stack.tif,575,255,255,255,29.2687,20.3487,1,648,172.72685,111927.0,71,1100,128.9031,446.5,254.0,37,136.62162,5055.0,106,160,15.9223,0,0,409.0,240.5,37,567.8648599999999,21011.0,200,1100,275.32205,0,1,2.35482
4,pilB_mNG_Agarose_Gasket_3_event15_tirf_RAW_Stack.tif,747,255,255,255,36.92972,16.87885,1,827,183.51511000000002,151767.0,60,747,81.41869,346.0,320.0,37,186.78378,6911.0,155,222,19.078979999999998,0,1,393.5,323.5,37,422.97297000000003,15650.0,203,747,158.57516,0,0,1.7768
5,pilB_mNG_Agarose_Gasket_3_event15_tirf_RAW_Stack.tif,1046,255,255,255,25.72371,45.03633,1,1162,120.38726000000001,139890.0,49,337,45.22475,270.0,317.5,37,140.24324,5189.0,103,169,20.60125,0,1,292.0,380.0,37,256.97297000000003,9508.0,172,337,43.745779999999996,0,0,1.72602
1,pilB_mNG_Agarose_Gasket_3_event16_tirf_RAW_Stack.tif,661,255,255,255,46.66641,15.08094,1,744,176.74597,131499.0,72,835,128.28555,88.0,143.0,37,120.72973,4467.0,97,139,12.681239999999999,0,0,136.5,142.0,37,564.78378,20897.0,293,835,169.95883999999998,0,1,2.1637299999999997
1,pilB_mNG_Agarose_Gasket_3_event17_tirf_RAW_Stack.tif,794,255,255,255,37.87028,29.644840000000002,1,887,202.38557,179516.0,71,861,103.65018,239.0,162.5,37,142.83784,5285.0,75,216,44.60226,0,0,284.5,190.0,37,562.2973,20805.0,332,861,159.25641000000002,0,0,1.86825
2,pilB_mNG_Agarose_Gasket_3_event17_tirf_RAW_Stack.tif,746,255,255,255,32.280159999999995,22.5496,1,839,167.74255,140736.0,65,1066,132.03308,269.5,340.0,37,146.94595,5437.0,118,171,15.856910000000001,0,0,226.0,317.0,37,628.48649,23254.0,238,1066,277.14022,0,1,2.64718
3,pilB_mNG_Agarose_Gasket_3_event17_tirf_RAW_Stack.tif,789,255,255,255,31.933459999999997,29.430290000000003,1,877,141.31813,123936.0,52,288,51.99603,342.5,308.0,37,130.7027,4836.0,84,177,27.3941,0,0,379.0,339.0,37,208.89189,7729.0,122,288,49.999320000000004,0,1,1.2242600000000001
4,pilB_mNG_Agarose_Gasket_3_event17_tirf_RAW_Stack.tif,651,255,255,255,29.11598,28.819509999999998,1,732,110.8224,81122.0,45,380,50.57634,347.0,456.5,37,93.43243000000001,3457.0,55,121,19.442989999999998,0,1,374.5,425.5,37,246.54054,9122.0,118,380,79.48536,0,0,1.63184
1,pilB_mNG_Agarose_Gasket_3_event18_tirf_RAW_Stack.tif,937,255,255,255,26.22999,43.54482,1,1044,167.49233999999998,174862.0,54,676,84.12307,139.5,285.5,37,294.18919,10885.0,126,435,95.65471,0,1,162.5,343.5,37,431.91892,15981.0,234,676,139.22072,1,1,2.37954
2,pilB_mNG_Agarose_Gasket_3_event18_tirf_RAW_Stack.tif,948,255,255,255,33.28376,35.53376,1,1055,175.82748999999998,185498.0,61,604,84.61761,217.5,209.5,37,152.16216,5630.0,94,201,31.016579999999998,0,0,175.5,244.5,37,411.86486,15239.0,205,604,125.11398,1,1,1.68048
3,pilB_mNG_Agarose_Gasket_3_event18_tirf_RAW_Stack.tif,989,255,255,255,18.4454,53.201719999999995,1,1096,163.97445,179716.0,64,621,76.37768,305.5,188.0,37,134.56757,4979.0,80,181,27.933,0,0,294.5,259.0,37,431.56757000000005,15968.0,242,621,112.93251000000001,0,1,1.82211
4,pilB_mNG_Agarose_Gasket_3_event18_tirf_RAW_Stack.tif,547,255,255,255,15.72303,30.289759999999998,1,609,176.76683,107651.0,64,505,77.84035,283.5,410.5,37,138.72973000000002,5133.0,93,178,25.087239999999998,0,0,280.5,373.5,37,341.18919,12624.0,163,505,108.56048999999999,0,0,1.42811
1,pilB_mNG_Agarose_Gasket_3_event19_tirf_RAW_Stack.tif,1027,255,255,255,34.02386,38.8554,1,1147,168.76112,193569.0,57,976,113.39658,154.0,370.0,37,185.13513999999998,6850.0,114,224,32.210390000000004,0,0,107.0,416.0,37,664.2973,24579.0,440,976,164.79278,0,1,2.81066
2,pilB_mNG_Agarose_Gasket_3_event19_tirf_RAW_Stack.tif,1033,255,255,255,32.65682,40.47773,1,1149,96.17232,110502.0,39,307,37.61009,373.0,99.5,37,125.97296999999999,4661.0,96,139,12.81381,0,1,408.5,47.0,37,210.64865,7794.0,109,307,59.94591,0,1,1.84538
1,pilB_mNG_Agarose_Gasket_3_event2_tirf_RAW_Stack.tif,1334,255,255,255,43.09445,41.87931,1,1479,114.08519,168732.0,40,701,73.00792,164.0,440.0,37,141.67568,5242.0,81,180,29.67233,0,0,213.0,375.5,37,432.40540999999996,15999.0,206,701,159.72154,0,0,2.73435
