index, ,Label,Angle,Median,Class_nb,Pitch,Strain
47,48,run_it025_classes.mrcs:z:10/30 - run_it025_classes.mrcs,1.871745,-0.089673,10,40.57,t8v
48,49,run_it025_classes.mrcs:z:11/30 - run_it025_classes.mrcs,0.77422,-0.082821,11,39.22,t8v
49,50,run_it025_classes.mrcs:z:11/30 - run_it025_classes.mrcs,-0.374477,-0.095582,11,40.55,t8v
50,51,run_it025_classes.mrcs:z:11/30 - run_it025_classes.mrcs,-179.198713,-0.012669,11,37.9,t8v
51,52,run_it025_classes.mrcs:z:11/30 - run_it025_classes.mrcs,0.0,0.001416,11,42.66,t8v
52,53,run_it025_classes.mrcs:z:11/30 - run_it025_classes.mrcs,-1.1088120000000001,-0.122076,11,41.08,t8v
53,54,run_it025_classes.mrcs:z:11/30 - run_it025_classes.mrcs,-1.835775,0.08103400000000001,11,41.36,t8v
54,55,run_it025_classes.mrcs:z:12/30 - run_it025_classes.mrcs,-9.340026,-0.007409000000000001,12,40.82,t8v
55,56,run_it025_classes.mrcs:z:12/30 - run_it025_classes.mrcs,-8.455028,0.0031149999999999997,12,39.65,t8v
56,57,run_it025_classes.mrcs:z:12/30 - run_it025_classes.mrcs,-7.907163000000001,0.063717,12,38.53,t8v
57,58,run_it025_classes.mrcs:z:12/30 - run_it025_classes.mrcs,-9.229886,0.091791,12,42.96,t8v
58,59,run_it025_classes.mrcs:z:12/30 - run_it025_classes.mrcs,-8.440365,0.014081999999999999,12,41.52,t8v
59,60,run_it025_classes.mrcs:z:12/30 - run_it025_classes.mrcs,-10.817834,0.078221,12,42.36,t8v
60,61,run_it025_classes.mrcs:z:14/30 - run_it025_classes.mrcs,-5.787243,-0.083585,14,39.42,t8v
61,62,run_it025_classes.mrcs:z:14/30 - run_it025_classes.mrcs,-4.888401,-0.025209,14,40.43,t8v
62,63,run_it025_classes.mrcs:z:14/30 - run_it025_classes.mrcs,-5.710593,0.069767,14,39.95,t8v
63,64,run_it025_classes.mrcs:z:14/30 - run_it025_classes.mrcs,-5.262395,-0.0047420000000000006,14,40.45,t8v
64,65,run_it025_classes.mrcs:z:14/30 - run_it025_classes.mrcs,-5.492325,-0.078192,14,41.53,t8v
65,66,run_it025_classes.mrcs:z:14/30 - run_it025_classes.mrcs,-6.753574,0.021897,14,40.56,t8v
66,67,run_it025_classes.mrcs:z:16/30 - run_it025_classes.mrcs,2.402609,0.0589,16,37.93,t8v
67,68,run_it025_classes.mrcs:z:16/30 - run_it025_classes.mrcs,2.744956,0.06582,16,38.73,t8v
68,69,run_it025_classes.mrcs:z:16/30 - run_it025_classes.mrcs,2.1885830000000004,0.023053,16,41.64,t8v
69,70,run_it025_classes.mrcs:z:16/30 - run_it025_classes.mrcs,1.548158,0.03594,16,39.23,t8v
70,71,run_it025_classes.mrcs:z:16/30 - run_it025_classes.mrcs,2.4540319999999998,0.0643,16,37.13,t8v
71,72,run_it025_classes.mrcs:z:16/30 - run_it025_classes.mrcs,1.974934,-0.11867799999999999,16,38.45,t8v
72,73,run_it025_classes.mrcs:z:17/30 - run_it025_classes.mrcs,8.549077,0.080667,17,41.0,t8v
73,74,run_it025_classes.mrcs:z:17/30 - run_it025_classes.mrcs,8.289404,-0.053297000000000004,17,40.44,t8v
74,75,run_it025_classes.mrcs:z:17/30 - run_it025_classes.mrcs,8.833414999999999,-0.055598,17,39.69,t8v
75,76,run_it025_classes.mrcs:z:17/30 - run_it025_classes.mrcs,9.062856,0.112352,17,43.74,t8v
76,77,run_it025_classes.mrcs:z:17/30 - run_it025_classes.mrcs,9.031072,0.00533,17,40.52,t8v
77,78,run_it025_classes.mrcs:z:17/30 - run_it025_classes.mrcs,9.522255,-0.004448,17,41.64999999999999,t8v
78,79,run_it025_classes.mrcs:z:18/30 - run_it025_classes.mrcs,-0.75884,-0.05625,18,40.02,t8v
79,80,run_it025_classes.mrcs:z:18/30 - run_it025_classes.mrcs,0.37204499999999996,0.099768,18,40.81,t8v
80,81,run_it025_classes.mrcs:z:18/30 - run_it025_classes.mrcs,-0.38453000000000004,-0.08253300000000001,18,39.49,t8v
81,82,run_it025_classes.mrcs:z:18/30 - run_it025_classes.mrcs,0.37943699999999997,0.077699,18,40.02,t8v
82,83,run_it025_classes.mrcs:z:18/30 - run_it025_classes.mrcs,-1.1233030000000002,0.133404,18,40.55,t8v
83,84,run_it025_classes.mrcs:z:18/30 - run_it025_classes.mrcs,0.0,-0.052775999999999997,18,41.07000000000001,t8v
84,85,run_it025_classes.mrcs:z:20/30 - run_it025_classes.mrcs,0.763898,-0.066325,20,39.75,t8v
85,86,run_it025_classes.mrcs:z:20/30 - run_it025_classes.mrcs,1.1017059999999999,-0.079886,20,41.349999999999994,t8v
86,87,run_it025_classes.mrcs:z:20/30 - run_it025_classes.mrcs,1.558684,-0.023359,20,38.97,t8v
87,88,run_it025_classes.mrcs:z:20/30 - run_it025_classes.mrcs,1.1088120000000001,0.080877,20,41.08,t8v
88,89,run_it025_classes.mrcs:z:20/30 - run_it025_classes.mrcs,1.138177,-0.128885,20,40.02,t8v
89,90,run_it025_classes.mrcs:z:20/30 - run_it025_classes.mrcs,1.487868,0.021407,20,40.82,t8v
90,91,run_it025_classes.mrcs:z:21/30 - run_it025_classes.mrcs,-179.652757,0.047416,21,43.72999999999999,t8v
