, ,Label,Angle,Median,Class_nb,Width,Strain
23,24,run_it025_classes-1.mrcs:z:9/30 - run_it025_classes.mrcs,-81.91941899999999,0.098856,9,57.81,WT
24,25,run_it025_classes-1.mrcs:z:11/30 - run_it025_classes.mrcs,-92.759108,0.124072,11,58.72,WT
25,26,run_it025_classes-1.mrcs:z:11/30 - run_it025_classes.mrcs,87.917435,0.134107,11,58.34,WT
26,27,run_it025_classes-1.mrcs:z:11/30 - run_it025_classes.mrcs,87.904747,0.111276,11,57.99,WT
27,28,run_it025_classes-1.mrcs:z:11/30 - run_it025_classes.mrcs,-91.405749,0.1061,11,57.61,WT
28,29,run_it025_classes-1.mrcs:z:12/30 - run_it025_classes.mrcs,-91.010997,0.135711,12,60.07999999999999,WT
29,30,run_it025_classes-1.mrcs:z:12/30 - run_it025_classes.mrcs,-90.674037,0.17983,12,60.07,WT
30,31,run_it025_classes-1.mrcs:z:12/30 - run_it025_classes.mrcs,-89.666889,0.20998699999999998,12,60.769999999999996,WT
31,32,run_it025_classes-1.mrcs:z:12/30 - run_it025_classes.mrcs,-90.0,0.132433,12,59.71,WT
32,33,run_it025_classes-1.mrcs:z:19/30 - run_it025_classes.mrcs,92.910838,0.22113000000000002,19,62.61999999999999,WT
33,34,run_it025_classes-1.mrcs:z:19/30 - run_it025_classes.mrcs,-88.698047,0.099371,19,62.20000000000001,WT
34,35,run_it025_classes-1.mrcs:z:19/30 - run_it025_classes.mrcs,-89.3338,0.21874200000000002,19,60.78,WT
35,36,run_it025_classes-1.mrcs:z:19/30 - run_it025_classes.mrcs,92.357906,0.176822,19,60.12,WT
36,37,run_it025_classes-1.mrcs:z:20/30 - run_it025_classes.mrcs,-90.99346899999999,0.170981,20,61.13999999999999,WT
37,38,run_it025_classes-1.mrcs:z:20/30 - run_it025_classes.mrcs,-91.324522,0.19331900000000002,20,61.13999999999999,WT
38,39,run_it025_classes-1.mrcs:z:20/30 - run_it025_classes.mrcs,89.34522,0.174816,20,61.84,WT
39,40,run_it025_classes-1.mrcs:z:20/30 - run_it025_classes.mrcs,89.65691600000001,0.150472,20,59.01,WT
40,41,run_it025_classes-1.mrcs:z:21/30 - run_it025_classes.mrcs,-90.686144,0.142192,21,59.01,WT
41,42,run_it025_classes-1.mrcs:z:21/30 - run_it025_classes.mrcs,87.954592,0.130209,21,59.4,WT
42,43,run_it025_classes-1.mrcs:z:21/30 - run_it025_classes.mrcs,-91.035353,0.184329,21,58.66,WT
43,44,run_it025_classes-1.mrcs:z:21/30 - run_it025_classes.mrcs,87.966684,0.134294,21,59.75,WT
44,45,run_it025_classes-1.mrcs:z:22/30 - run_it025_classes.mrcs,-83.81138399999999,0.12172999999999999,22,59.0,WT
45,46,run_it025_classes-1.mrcs:z:22/30 - run_it025_classes.mrcs,-84.393834,0.19433699999999998,22,57.87,WT
46,47,run_it025_classes-1.mrcs:z:22/30 - run_it025_classes.mrcs,-83.50922800000001,0.19913,22,59.39,WT
47,48,run_it025_classes-1.mrcs:z:22/30 - run_it025_classes.mrcs,-83.470464,0.157888,22,59.03999999999999,WT
48,49,run_it025_classes-1.mrcs:z:23/30 - run_it025_classes.mrcs,-90.69869399999999,0.112169,23,57.95000000000001,WT
49,50,run_it025_classes-1.mrcs:z:23/30 - run_it025_classes.mrcs,-90.34936,0.148338,23,57.95000000000001,WT
50,51,run_it025_classes-1.mrcs:z:23/30 - run_it025_classes.mrcs,-90.34308399999999,0.193133,23,59.01,WT
51,52,run_it025_classes-1.mrcs:z:23/30 - run_it025_classes.mrcs,90.0,0.10586400000000001,23,57.59,WT
52,53,run_it025_classes-1.mrcs:z:24/30 - run_it025_classes.mrcs,-90.0,0.200494,24,57.95000000000001,WT
53,54,run_it025_classes-1.mrcs:z:24/30 - run_it025_classes.mrcs,-90.70298000000001,0.092851,24,57.6,WT
54,55,run_it025_classes-1.mrcs:z:24/30 - run_it025_classes.mrcs,-90.345151,0.124502,24,58.65,WT
55,56,run_it025_classes-1.mrcs:z:24/30 - run_it025_classes.mrcs,91.01697800000001,0.090581,24,59.72,WT
56,57,run_it025_classes-1.mrcs:z:25/30 - run_it025_classes.mrcs,-85.815084,0.135961,25,58.1,WT
57,58,run_it025_classes-1.mrcs:z:25/30 - run_it025_classes.mrcs,-86.46770500000001,0.219946,25,57.35000000000001,WT
58,59,run_it025_classes-1.mrcs:z:25/30 - run_it025_classes.mrcs,-86.208834,0.105717,25,58.78,WT
59,60,run_it025_classes-1.mrcs:z:25/30 - run_it025_classes.mrcs,-88.602819,0.16276,25,57.96,WT
60,61,run_it025_classes-1.mrcs:z:26/30 - run_it025_classes.mrcs,90.33703,0.21735100000000002,26,60.07,WT
61,62,run_it025_classes-1.mrcs:z:26/30 - run_it025_classes.mrcs,-89.30972299999999,0.24294899999999997,26,58.66,WT
62,63,run_it025_classes-1.mrcs:z:26/30 - run_it025_classes.mrcs,-88.97697,0.178376,26,59.37,WT
63,64,run_it025_classes-1.mrcs:z:26/30 - run_it025_classes.mrcs,-89.3338,0.140881,26,60.78,WT
64,65,run_it025_classes-1.mrcs:z:27/30 - run_it025_classes.mrcs,-99.077054,0.108998,27,60.470000000000006,WT
65,66,run_it025_classes-1.mrcs:z:27/30 - run_it025_classes.mrcs,-98.56451899999999,0.122275,27,59.31,WT
66,67,run_it025_classes-1.mrcs:z:27/30 - run_it025_classes.mrcs,80.647021,0.12742799999999999,27,60.88,WT
67,68,run_it025_classes-1.mrcs:z:27/30 - run_it025_classes.mrcs,82.056528,0.082361,27,61.36,WT
68,69,run_it025_classes-1.mrcs:z:28/30 - run_it025_classes.mrcs,88.390991,0.087358,28,62.92,WT
69,70,run_it025_classes-1.mrcs:z:28/30 - run_it025_classes.mrcs,-90.670096,0.165957,28,60.42,WT
70,71,run_it025_classes-1.mrcs:z:28/30 - run_it025_classes.mrcs,-91.324522,0.149377,28,61.13999999999999,WT
71,72,run_it025_classes-1.mrcs:z:28/30 - run_it025_classes.mrcs,-90.0,0.093174,28,61.13,WT
0,1,run_it025_classes.mrcs:z:1/30 - run_it025_classes.mrcs,-90.69027700000001,0.080468,1,58.66,t8v
1,2,run_it025_classes.mrcs:z:1/30 - run_it025_classes.mrcs,-90.333111,0.162984,1,60.769999999999996,t8v
2,3,run_it025_classes.mrcs:z:1/30 - run_it025_classes.mrcs,-89.668814,0.194881,1,61.13,t8v
3,4,run_it025_classes.mrcs:z:1/30 - run_it025_classes.mrcs,-90.0,0.142714,1,60.07,t8v
4,5,run_it025_classes.mrcs:z:2/30 - run_it025_classes.mrcs,-90.662349,0.076173,2,61.13,t8v
5,6,run_it025_classes.mrcs:z:2/30 - run_it025_classes.mrcs,-89.325963,0.132491,2,60.07,t8v
6,7,run_it025_classes.mrcs:z:2/30 - run_it025_classes.mrcs,-89.66297,0.171241,2,60.07,t8v
7,8,run_it025_classes.mrcs:z:2/30 - run_it025_classes.mrcs,-90.0,0.099402,2,61.48,t8v
8,9,run_it025_classes.mrcs:z:3/30 - run_it025_classes.mrcs,-89.01224,0.11513399999999999,3,61.49,t8v
9,10,run_it025_classes.mrcs:z:3/30 - run_it025_classes.mrcs,-89.337651,0.152936,3,61.13,t8v
10,11,run_it025_classes.mrcs:z:3/30 - run_it025_classes.mrcs,-88.683088,0.13286199999999998,3,61.5,t8v
11,12,run_it025_classes.mrcs:z:3/30 - run_it025_classes.mrcs,-89.00075600000001,0.0972,3,60.78,t8v
12,13,run_it025_classes.mrcs:z:4/30 - run_it025_classes.mrcs,-89.321975,0.094587,4,59.72,t8v
13,14,run_it025_classes.mrcs:z:4/30 - run_it025_classes.mrcs,-89.664941,0.167737,4,60.42,t8v
14,15,run_it025_classes.mrcs:z:4/30 - run_it025_classes.mrcs,-89.313856,0.19378800000000002,4,59.01,t8v
15,16,run_it025_classes.mrcs:z:4/30 - run_it025_classes.mrcs,-90.0,0.079839,4,57.95000000000001,t8v
16,17,run_it025_classes.mrcs:z:5/30 - run_it025_classes.mrcs,-90.686144,0.09277,5,59.01,t8v
17,18,run_it025_classes.mrcs:z:5/30 - run_it025_classes.mrcs,-89.64849699999999,0.11321700000000001,5,57.59,t8v
18,19,run_it025_classes.mrcs:z:5/30 - run_it025_classes.mrcs,-90.0,0.129406,5,56.89000000000001,t8v
19,20,run_it025_classes.mrcs:z:5/30 - run_it025_classes.mrcs,-90.0,0.140881,5,58.65,t8v
20,21,run_it025_classes.mrcs:z:6/30 - run_it025_classes.mrcs,-90.0,0.062761,6,59.01,t8v
21,22,run_it025_classes.mrcs:z:6/30 - run_it025_classes.mrcs,-91.363928,0.13626,6,59.38,t8v
22,23,run_it025_classes.mrcs:z:6/30 - run_it025_classes.mrcs,-90.0,0.08388999999999999,6,60.42,t8v
23,24,run_it025_classes.mrcs:z:6/30 - run_it025_classes.mrcs,-91.363928,0.111268,6,59.38,t8v
24,25,run_it025_classes.mrcs:z:7/30 - run_it025_classes.mrcs,-8.21452,0.074696,7,237.4,t8v
25,26,run_it025_classes.mrcs:z:7/30 - run_it025_classes.mrcs,-97.24726899999999,0.19405999999999998,7,61.62,t8v
26,27,run_it025_classes.mrcs:z:7/30 - run_it025_classes.mrcs,-96.632515,0.15069200000000002,7,61.18,t8v
27,28,run_it025_classes.mrcs:z:7/30 - run_it025_classes.mrcs,-97.24726899999999,0.09454800000000001,7,61.62,t8v
28,29,run_it025_classes.mrcs:z:7/30 - run_it025_classes.mrcs,-98.414682,0.06259400000000001,7,60.36,t8v
29,30,run_it025_classes.mrcs:z:9/30 - run_it025_classes.mrcs,-98.03571099999999,0.082475,9,60.66,t8v
30,31,run_it025_classes.mrcs:z:9/30 - run_it025_classes.mrcs,-97.750036,0.13383699999999998,9,60.26,t8v
31,32,run_it025_classes.mrcs:z:9/30 - run_it025_classes.mrcs,82.957961,0.12420899999999999,9,60.52,t8v
32,33,run_it025_classes.mrcs:z:9/30 - run_it025_classes.mrcs,82.916714,0.068714,9,60.169999999999995,t8v
33,34,run_it025_classes.mrcs:z:10/30 - run_it025_classes.mrcs,-88.659992,0.173773,10,60.44,t8v
34,35,run_it025_classes.mrcs:z:10/30 - run_it025_classes.mrcs,91.704728,0.172843,10,59.39,t8v
35,36,run_it025_classes.mrcs:z:10/30 - run_it025_classes.mrcs,-87.628158,0.138926,10,59.76,t8v
36,37,run_it025_classes.mrcs:z:10/30 - run_it025_classes.mrcs,-88.33489399999999,0.117671,10,60.8,t8v
37,38,run_it025_classes.mrcs:z:11/30 - run_it025_classes.mrcs,90.69027700000001,0.12901500000000002,11,58.66,t8v
38,39,run_it025_classes.mrcs:z:11/30 - run_it025_classes.mrcs,-90.0,0.24065599999999998,11,57.95000000000001,t8v
39,40,run_it025_classes.mrcs:z:11/30 - run_it025_classes.mrcs,-89.31794000000001,0.116993,11,59.36000000000001,t8v
40,41,run_it025_classes.mrcs:z:11/30 - run_it025_classes.mrcs,-89.023462,0.083121,11,62.20000000000001,t8v
41,42,run_it025_classes.mrcs:z:12/30 - run_it025_classes.mrcs,-98.450699,0.161377,12,62.51,t8v
42,43,run_it025_classes.mrcs:z:12/30 - run_it025_classes.mrcs,-97.898137,0.153658,12,61.71,t8v
43,44,run_it025_classes.mrcs:z:12/30 - run_it025_classes.mrcs,-97.686722,0.105485,12,58.12,t8v
44,45,run_it025_classes.mrcs:z:12/30 - run_it025_classes.mrcs,-97.460566,0.11873800000000001,12,59.870000000000005,t8v
45,46,run_it025_classes.mrcs:z:14/30 - run_it025_classes.mrcs,-96.231746,0.10125,14,61.85,t8v
46,47,run_it025_classes.mrcs:z:14/30 - run_it025_classes.mrcs,-95.77811899999999,0.10339200000000001,14,59.66,t8v
47,48,run_it025_classes.mrcs:z:14/30 - run_it025_classes.mrcs,85.65254300000001,0.139223,14,60.59,t8v
48,49,run_it025_classes.mrcs:z:14/30 - run_it025_classes.mrcs,-95.472712,0.10530899999999999,14,59.28,t8v
49,50,run_it025_classes.mrcs:z:16/30 - run_it025_classes.mrcs,-88.994914,0.09245,16,60.43,t8v
50,51,run_it025_classes.mrcs:z:16/30 - run_it025_classes.mrcs,90.69869399999999,0.131641,16,57.95000000000001,t8v
51,52,run_it025_classes.mrcs:z:16/30 - run_it025_classes.mrcs,-88.243012,0.19098800000000002,16,57.62,t8v
52,53,run_it025_classes.mrcs:z:16/30 - run_it025_classes.mrcs,-87.89190500000001,0.10244500000000001,16,57.629999999999995,t8v
53,54,run_it025_classes.mrcs:z:17/30 - run_it025_classes.mrcs,-81.623995,0.11148,17,58.21,t8v
54,55,run_it025_classes.mrcs:z:17/30 - run_it025_classes.mrcs,-81.72410699999999,0.10898499999999998,17,58.91,t8v
55,56,run_it025_classes.mrcs:z:17/30 - run_it025_classes.mrcs,-81.227263,0.11215499999999999,17,57.92,t8v
56,57,run_it025_classes.mrcs:z:17/30 - run_it025_classes.mrcs,-81.86989799999999,0.08026,17,57.46,t8v
57,58,run_it025_classes.mrcs:z:18/30 - run_it025_classes.mrcs,-90.0,0.11831900000000001,18,61.13,t8v
58,59,run_it025_classes.mrcs:z:18/30 - run_it025_classes.mrcs,-90.341042,0.19584300000000002,18,59.36000000000001,t8v
59,60,run_it025_classes.mrcs:z:18/30 - run_it025_classes.mrcs,-90.339024,0.16231199999999998,18,59.71,t8v
60,61,run_it025_classes.mrcs:z:18/30 - run_it025_classes.mrcs,-89.652757,0.149116,18,58.300000000000004,t8v
61,62,run_it025_classes.mrcs:z:20/30 - run_it025_classes.mrcs,-88.62790799999999,0.086814,20,59.02,t8v
62,63,run_it025_classes.mrcs:z:20/30 - run_it025_classes.mrcs,-88.952023,0.158139,20,57.96,t8v
63,64,run_it025_classes.mrcs:z:20/30 - run_it025_classes.mrcs,91.397181,0.14881,20,57.96,t8v
64,65,run_it025_classes.mrcs:z:20/30 - run_it025_classes.mrcs,91.414423,0.12315999999999999,20,57.260000000000005,t8v
65,66,run_it025_classes.mrcs:z:21/30 - run_it025_classes.mrcs,-90.34936,0.10822000000000001,21,57.95000000000001,t8v
66,67,run_it025_classes.mrcs:z:21/30 - run_it025_classes.mrcs,-90.34308399999999,0.10642,21,59.01,t8v
67,68,run_it025_classes.mrcs:z:21/30 - run_it025_classes.mrcs,-90.34308399999999,0.170536,21,59.01,t8v
68,69,run_it025_classes.mrcs:z:21/30 - run_it025_classes.mrcs,90.33703,0.155251,21,60.07,t8v
69,70,run_it025_classes.mrcs:z:22/30 - run_it025_classes.mrcs,86.915188,0.14668499999999998,22,59.09,t8v
70,71,run_it025_classes.mrcs:z:22/30 - run_it025_classes.mrcs,-92.444068,0.10893399999999999,22,57.99999999999999,t8v
71,72,run_it025_classes.mrcs:z:22/30 - run_it025_classes.mrcs,86.253838,0.121075,22,59.49,t8v
72,73,run_it025_classes.mrcs:z:22/30 - run_it025_classes.mrcs,-92.663001,0.12353800000000001,22,60.84,t8v
73,74,run_it025_classes.mrcs:z:23/30 - run_it025_classes.mrcs,-88.675478,0.136187,23,61.13999999999999,t8v
74,75,run_it025_classes.mrcs:z:23/30 - run_it025_classes.mrcs,90.670096,0.142868,23,60.42,t8v
75,76,run_it025_classes.mrcs:z:23/30 - run_it025_classes.mrcs,91.347887,0.140013,23,60.07999999999999,t8v
76,77,run_it025_classes.mrcs:z:23/30 - run_it025_classes.mrcs,-89.017883,0.10666400000000001,23,61.84,t8v
77,78,run_it025_classes.mrcs:z:25/30 - run_it025_classes.mrcs,90.678025,0.107216,25,59.72,t8v
78,79,run_it025_classes.mrcs:z:25/30 - run_it025_classes.mrcs,-89.321975,0.16996,25,59.72,t8v
79,80,run_it025_classes.mrcs:z:25/30 - run_it025_classes.mrcs,-88.31531600000001,0.15209,25,60.09,t8v
80,81,run_it025_classes.mrcs:z:25/30 - run_it025_classes.mrcs,-90.0,0.165846,25,58.65,t8v
81,82,run_it025_classes.mrcs:z:26/30 - run_it025_classes.mrcs,-88.989003,0.183292,26,60.07999999999999,t8v
82,83,run_it025_classes.mrcs:z:26/30 - run_it025_classes.mrcs,90.69869399999999,0.12698399999999999,26,57.95000000000001,t8v
83,84,run_it025_classes.mrcs:z:26/30 - run_it025_classes.mrcs,-89.668814,0.160211,26,61.13,t8v
84,85,run_it025_classes.mrcs:z:26/30 - run_it025_classes.mrcs,89.66297,0.158269,26,60.07,t8v
85,86,run_it025_classes.mrcs:z:27/30 - run_it025_classes.mrcs,-80.425772,0.081613,27,59.47999999999999,t8v
86,87,run_it025_classes.mrcs:z:27/30 - run_it025_classes.mrcs,-80.706691,0.127374,27,59.08,t8v
87,88,run_it025_classes.mrcs:z:27/30 - run_it025_classes.mrcs,-79.91183000000001,0.10533900000000002,27,58.5,t8v
88,89,run_it025_classes.mrcs:z:27/30 - run_it025_classes.mrcs,-79.695154,0.104447,27,59.26,t8v
89,90,run_it025_classes.mrcs:z:29/30 - run_it025_classes.mrcs,-90.0,0.131694,29,60.42,t8v
90,91,run_it025_classes.mrcs:z:29/30 - run_it025_classes.mrcs,-90.0,0.162164,29,59.36000000000001,t8v
91,92,run_it025_classes.mrcs:z:29/30 - run_it025_classes.mrcs,-89.325963,0.188006,29,60.07,t8v
92,93,run_it025_classes.mrcs:z:29/30 - run_it025_classes.mrcs,-89.664941,0.16128,29,60.42,t8v
93,94,run_it025_classes.mrcs:z:30/30 - run_it025_classes.mrcs,-88.619646,0.11096199999999999,30,58.67,t8v
94,95,run_it025_classes.mrcs:z:30/30 - run_it025_classes.mrcs,-87.966684,0.12609800000000002,30,59.75,t8v
95,96,run_it025_classes.mrcs:z:30/30 - run_it025_classes.mrcs,-88.98302199999999,0.130399,30,59.72,t8v
96,97,run_it025_classes.mrcs:z:30/30 - run_it025_classes.mrcs,-87.966684,0.14718299999999998,30,59.75,t8v
