 ,Label,Area,Mean,Min,Max,X,Y,BiologicalReplicate,CellArea,CellMean,CellTotalFluorescence,CellMin,CellMax,CellStd,X_PoleDim,Y_PoleDim,AreaPoleDim,MeanPoleDim,TotalFluorescencePoleDim,MinPoleDim,MaxPoleDim,StdPoleDim,Nb_Pili_PoleDim,Nb_Flagella_PoleDim,X_PoleBright,Y_PoleBright,AreaPoleBright,MeanPoleBright,TotalFluorescencePoleBright,MinPoleBright,MaxPoleBright,StdPoleBright,Nb_Pili_PoleBright,Nb_Flagella_PoleBright,PolarRatio,Strain,Growth,Cell_ID,Pole_RadiusDim,Pole_RadiusBright
1,mNG_PilG_fliC-_sol_Microchannel_BR2_0_event16_tirf_RAW_Stack.tif,,,,,,,2,1303,87.32694000000002,113787.0,50,279,27.817970000000006,212.12025,228.17447,177,85.70056,15169.0,42,161,28.17469,1,0,295.0,236.0,177,111.35028,19709.0,47,279,58.0197,3,0,1.18492,mNG_PilG_fliC-,Solid,1.0,14.43292,14.43292
1,mNG_PilG_fliC-_sol_Microchannel_BR2_0_event18_tirf_RAW_Stack.tif,,,,,,,2,883,91.3137,80630.0,46,228,28.12876,295.30184,231.19329,137,92.64964,12693.0,49,150,27.2679,0,0,281.0,283.0,137,109.15328,14954.0,39,228,52.85286,2,0,1.15979,mNG_PilG_fliC-,Solid,1.0,12.84376,12.84376
1,mNG_PilG_fliC-_sol_Microchannel_BR2_0_event19_tirf_RAW_Stack.tif,,,,,,,2,1296,81.19676,105231.0,37,352,41.39467,268.0,313.0,112,126.46429,14164.0,46,268,58.35275,3,0,193.0,272.0,112,159.24107,17835.0,66,352,72.99676,2,0,2.09114,mNG_PilG_fliC-,Solid,1.0,11.85515,11.85515
1,mNG_PilG_fliC-_sol_Microchannel_BR2_0_event2_tirf_RAW_Stack.tif,,,,,,,2,954,87.68239,83649.0,38,268,32.31259,332.95974,211.04204,69,66.53623,4591.0,53,100,9.50941,0,0,399.0,220.0,69,99.72464,6881.0,43,159,33.58741,0,0,0.93983,mNG_PilG_fliC-,Solid,1.0,8.1891,8.1891
1,mNG_PilG_fliC-_sol_Microchannel_BR2_0_event20_tirf_RAW_Stack.tif,,,,,,,2,1021,90.19099,92085.0,43,258,33.2174,265.41341,335.76542,177,102.0113,18056.0,36,258,53.78345,3,0,266.0,275.0,177,103.38418,18299.0,33,224,46.12396,1,0,1.2291299999999998,mNG_PilG_fliC-,Solid,1.0,14.51665,14.51665
1,mNG_PilG_fliC-_sol_Microchannel_BR2_0_event23_tirf_RAW_Stack.tif,,,,,,,2,1841,85.43455,157285.0,41,434,46.60331,337.74251,200.09407,293,110.99659,32522.0,42,335,64.42158,2,0,246.0,208.0,293,113.8157,33348.0,39,434,81.82591,3,0,1.54318,mNG_PilG_fliC-,Solid,1.0,18.64383,18.64383
1,mNG_PilG_fliC-_sol_Microchannel_BR2_0_event24_tirf_RAW_Stack.tif,,,,,,,2,1160,81.30345,94312.0,38,256,30.910870000000006,390.78959,176.43937,177,84.68927,14990.0,33,180,38.98105,0,0,328.0,143.0,177,114.13559,20202.0,46,256,49.89391,3,0,1.35532,mNG_PilG_fliC-,Solid,1.0,14.31744,14.31744
2,mNG_PilG_fliC-_sol_Microchannel_BR2_0_event24_tirf_RAW_Stack.tif,,,,,,,2,1221,78.51597,95868.0,35,255,31.54938,183.19039,341.48529,112,104.51786,11706.0,35,221,50.5109,2,0,116.0,297.0,112,126.49107,14167.0,54,255,50.53498,3,0,1.64523,mNG_PilG_fliC-,Solid,2.0,11.91394,11.91394
1,mNG_PilG_fliC-_sol_Microchannel_BR2_0_event25_tirf_RAW_Stack.tif,,,,,,,2,1252,81.27796,101760.0,41,255,31.09575,250.06585,225.66204,156,101.14103,15778.0,39,231,48.03728,2,0,183.0,189.0,156,110.16667,17186.0,50,255,50.57908,3,0,1.44361,mNG_PilG_fliC-,Solid,1.0,13.61705,13.61705
1,mNG_PilG_fliC-_sol_Microchannel_BR2_0_event26_tirf_RAW_Stack.tif,,,,,,,2,946,88.57928000000003,83796.0,42,217,29.43982,228.41471,250.91349,156,99.14103,15466.0,41,217,44.34708,1,0,268.0,210.0,156,101.83333,15886.0,42,210,42.7925,2,0,1.2148,mNG_PilG_fliC-,Solid,1.0,13.4703,13.4703
