 ,Label,Track_ID,BiologicalReplicate,PaqaArea,PaqaMean,PaqaTotalFluorescence,PaqaMin,PaqaMax,PaqaStd,rfpArea,rfpMean,rfpTotalFluorescence,rfpMin,rfpMax,rfpStd,PaQa_RFP_ratio,Strain,Reporter,TimePoint,TeckRep
71,pilT-pilA-fliC-_PaQa_0h001.nd2 - C=2.tif,249,1,4.1193800000000005,52.97436,218.22126,8,136,27.669559999999997,4.225,197.475,834.33192,83,473,103.92008,0.26155,pilT-pilA-fliC-,PaQa,0,1
72,pilT-pilA-fliC-_PaQa_0h001.nd2 - C=2.tif,254,1,2.32375,40.18182,93.3725,13,81,16.549020000000002,2.32375,137.31818,319.09314,42,318,70.06282,0.29262,pilT-pilA-fliC-,PaQa,0,1
73,pilT-pilA-fliC-_PaQa_0h001.nd2 - C=2.tif,256,1,2.85188,32.7037,93.26688,10,57,14.451020000000002,2.32375,139.40909,323.95189,62,247,54.9421,0.2879,pilT-pilA-fliC-,PaQa,0,1
74,pilT-pilA-fliC-_PaQa_0h001.nd2 - C=2.tif,257,1,2.535,45.75,115.97626000000001,20,83,19.95266,2.42938,168.65216999999998,409.7194,78,324,73.79678,0.28306,pilT-pilA-fliC-,PaQa,0,1
75,pilT-pilA-fliC-_PaQa_0h001.nd2 - C=2.tif,259,1,4.225,43.1,182.09751,11,99,22.8953,3.69688,172.65714,638.2919099999999,44,358,98.6789,0.28529,pilT-pilA-fliC-,PaQa,0,1
76,pilT-pilA-fliC-_PaQa_0h001.nd2 - C=2.tif,261,1,3.27438,32.80645,107.42063,3,73,13.958079999999999,2.85188,131.55556,375.18002,54,244,57.47865,0.28631999999999996,pilT-pilA-fliC-,PaQa,0,1
77,pilT-pilA-fliC-_PaQa_0h001.nd2 - C=2.tif,263,1,4.33063,50.024390000000004,216.63689,21,117,22.59147,3.9081300000000003,199.59458999999998,780.04066,65,409,106.92065,0.27773000000000003,pilT-pilA-fliC-,PaQa,0,1
78,pilT-pilA-fliC-_PaQa_0h001.nd2 - C=2.tif,271,1,2.64063,46.28,122.20813000000001,19,91,19.44334,2.535,128.75,326.38127000000003,52,252,51.83607,0.37443000000000004,pilT-pilA-fliC-,PaQa,0,1
79,pilT-pilA-fliC-_PaQa_0h001.nd2 - C=2.tif,280,1,3.06313,42.06897,128.86251000000001,17,78,15.9708,2.74625,146.5,402.32565,58,254,51.78668,0.32029,pilT-pilA-fliC-,PaQa,0,1
80,pilT-pilA-fliC-_PaQa_0h001.nd2 - C=2.tif,289,1,1.90125,68.88889,130.97501,31,148,36.971990000000005,3.4856300000000005,205.57576,716.5600400000001,52,468,122.51378000000001,0.18278,pilT-pilA-fliC-,PaQa,0,1
81,pilT-pilA-fliC-_PaQa_0h001.nd2 - C=2.tif,295,1,2.85188,61.333330000000004,174.91501,10,157,39.4091,2.64063,216.84,572.59315,45,569,146.89471,0.30548000000000003,pilT-pilA-fliC-,PaQa,0,1
82,pilT-pilA-fliC-_PaQa_0h001.nd2 - C=2.tif,296,1,2.535,54.5,138.15751,8,104,26.492,2.535,202.33333000000002,512.91503,74,381,93.85264000000001,0.26936,pilT-pilA-fliC-,PaQa,0,1
83,pilT-pilA-fliC-_PaQa_0h001.nd2 - C=2.tif,300,1,2.85188,61.037040000000005,174.07001,20,115,32.3306,2.74625,162.30768999999998,445.73752,50,344,93.97564,0.39052,pilT-pilA-fliC-,PaQa,0,1
84,pilT-pilA-fliC-_PaQa_0h001.nd2 - C=2.tif,302,1,3.27438,69.3871,227.19939,35,130,26.85973,3.4856300000000005,178.63636,622.65941,87,379,78.58984,0.36489,pilT-pilA-fliC-,PaQa,0,1
85,pilT-pilA-fliC-_PaQa_0h001.nd2 - C=2.tif,303,1,3.38,56.6875,191.60376000000002,16,109,25.30643,4.225,191.15,807.60879,27,418,110.4217,0.23725,pilT-pilA-fliC-,PaQa,0,1
